,id,abbreviation,alternative_name,category,created_at,name,platform_logo,product_family,slug,summary,updated_at,url,versions,websites,generation
0,3,Linux,GNU/Linux,4.0,1297555200,Linux,33.0,4.0,linux,"Linux is a free and open-source (FOSS/FLOSS) Operating System. In a more precise and complex definition, Linux is an open-source OS kernel on which a large variety of Operating Systems (known as Linux distributions) are built.",1392940800,https://www.igdb.com/platforms/linux,[44],[1],
1,4,N64,N64,1.0,1297555200,Nintendo 64,260.0,5.0,n64,,1565136000,https://www.igdb.com/platforms/n64,"[51, 122]",[35],5.0
2,5,Wii,Revolution,1.0,1297555200,Wii,326.0,5.0,wii,,1565136000,https://www.igdb.com/platforms/wii,"[72, 283]",,7.0
3,6,PC,mswin,4.0,1297555200,PC (Microsoft Windows),203.0,,win,,1470009600,https://www.igdb.com/platforms/win,"[1, 13, 14, 15, 124]",[2],
4,7,PS1,,1.0,1297555200,PlayStation,278.0,1.0,ps,,1392076800,https://www.igdb.com/platforms/ps,[57],,5.0
5,8,PS2,PS2,1.0,1297555200,PlayStation 2,254.0,1.0,ps2,,1414972800,https://www.igdb.com/platforms/ps2,"[58, 114]",,6.0
6,9,PS3,,1.0,1297555200,PlayStation 3,79.0,1.0,ps3,,1391558400,https://www.igdb.com/platforms/ps3,"[4, 5, 6]",[3],7.0
7,11,XBOX,,1.0,1297555200,Xbox,266.0,2.0,xbox,,1392076800,https://www.igdb.com/platforms/xbox,[77],,6.0
8,12,X360,xbx360,1.0,1297555200,Xbox 360,250.0,2.0,xbox360,"Xbox 360 brings you a total games and entertainment experience. The largest library of games, including titles that get you right into the thick of it with Kinect. Plus, your whole family can watch HD movies, TV shows, live events, music, sports and more—across all your devices. Xbox 360 is the center of your games and entertainment universe.",1392854400,https://www.igdb.com/platforms/xbox360,"[2, 3, 83]",[4],7.0
9,13,DOS,,4.0,1297641600,PC DOS,38.0,,dos,,1392076800,https://www.igdb.com/platforms/dos,[56],,
10,14,Mac,Mac OS,4.0,1297641600,Mac,100.0,,mac,,1394236800,https://www.igdb.com/platforms/mac,"[45, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151]",[5],
11,15,C64,,6.0,1297814400,Commodore C64/128,300.0,,c64,,1468454400,https://www.igdb.com/platforms/c64,[36],,
12,16,Amiga,,6.0,1297814400,Amiga,,,amiga,,1417392000,https://www.igdb.com/platforms/amiga,"[19, 109, 110, 111, 112, 113]",,
13,18,NES,NES,1.0,1297900800,Nintendo Entertainment System (NES),229.0,5.0,nes,,1424044800,https://www.igdb.com/platforms/nes,"[53, 175]",,3.0
14,19,SNES,"SNES, Super Nintendo",1.0,1297900800,Super Nintendo Entertainment System (SNES),106.0,5.0,snes--1,,1439164800,https://www.igdb.com/platforms/snes--1,"[68, 95, 97, 139, 177]",,4.0
15,20,NDS,DS,5.0,1297900800,Nintendo DS,245.0,5.0,nds,,1502668800,https://www.igdb.com/platforms/nds,"[52, 190, 191, 192]",,7.0
16,21,NGC,Dolphin,1.0,1297987200,Nintendo GameCube,262.0,,ngc,,1565136000,https://www.igdb.com/platforms/ngc,"[54, 121, 125]",,6.0
