,age_ratings,aggregated_rating,aggregated_rating_count,alternative_names,artworks,bundles,category,collection,cover,created_at,dlcs,expansions,external_games,first_release_date,franchise,franchises,game_engines,game_modes,genres,hypes,id,involved_companies,keywords,multiplayer_modes,name,parent_game,platforms,player_perspectives,popularity,pulse_count,rating,rating_count,release_dates,screenshots,similar_games,slug,standalone_expansions,status,storyline,summary,tags,themes,time_to_beat,total_rating,total_rating_count,updated_at,url,version_parent,version_title,videos,websites
0,,,,,,,0,,67185.0,1505952000,,,,1530316800.0,1008.0,[1008],,"[1, 2]",[33],,68354,[54507],,,Arcade Archives: Pinball,,[130],[4],1.0,,,,[132618],"[334822, 334823, 334824, 334825, 334826, 334827]","[23195, 68458, 87150, 87170, 87728, 89817, 90788, 90965, 104100, 120268]",arcade-archives-pinball,,,,"Use your skills to manipulate the ball, and use the features to your advantage to shoot for a high score! 
""Pinball"" is a pinball game released by Nintendo in 1984. 
 
The rules are simple even for beginners: try to gain points without losing the ball. However, with various tricks and features, the game offers a depth that even experts can enjoy. 
 
Fans can also enjoy seeing Mario and Lady from ""DONKEY KONG"" in the bonus stage! 
 
The ""Arcade Archives"" series has faithfully reproduced many classic Arcade masterpieces. 
 
Players can change various game settings such as game difficulty, and also reproduce the atmosphere of arcade display settings at that time. Players can also compete against each other from all over the world with their high scores. 
 
Please enjoy the masterpiece that built a generation for video games.",[268435489],,,,,1570320000,https://www.igdb.com/games/arcade-archives-pinball,40118.0,Arcade Archives,,
1,,,,[23840],,,0,767.0,,1550016000,,,[1746567],1609372800.0,546.0,[546],,[1],[12],1.0,115279,"[74456, 74457, 74458]",,,Rune Factory 5,,[130],,1.445775230718781,11.0,,,[165091],,"[28010, 54775, 81249, 96217, 99118, 101608, 103168, 103303, 106987, 115278]",rune-factory-5,,,,,"[1, 17, 268435468]","[1, 17]",,,,1564531200,https://www.igdb.com/games/rune-factory-5,,,,[100077]
2,"[13211, 13212]",,,,,,0,,27989.0,1500422400,,,[101639],1500508800.0,,,,[1],"[9, 25]",,51518,"[52278, 52279]","[734, 2875]",,Boost Beast,,[130],[4],1.445775230718781,4.0,73.0,0.0,"[98107, 119633, 123198]","[153722, 153723, 153724, 153725, 153726, 153727]","[236, 10603, 11367, 24426, 25222, 28070, 60044, 82953, 103168, 116681]",boost-beast,,,"""The sudden appearance of a virus-carrying meteorite 
infected the entire human race, and turned everyone into zombies. 
The hero who rose up to face this crisis is Alec, the king of dogs. 
Will he be able to save the devastated world and reclaim peace..?""","""BOOST BEAST"" is a defense puzzle game where players defeat the invading horde of zombies by clearing blocks and summoning animals. 
 
The controls are simple! 
Match 3 animal blocks of the same color to summon your cute animal friends and defeat the incoming waves of zombies! 
There are many gimmicks that stand in your way during your quest to save the world. 
There are cages that trap your animal friends, rocks that block your path, and the grim reaper who will turn your allies into zombies. 
Make use of bombs and chain combos to pave a path to victory! 
 
Join forces with your cute animal army and clear all 204 stages! 
Lets go animal army! Until the day where peace is restored!","[17, 268435465, 268435481, 536871646, 536873787]",[17],,73.0,0.0,1518048000,https://www.igdb.com/games/boost-beast,,,[14976],[52374]
3,[15930],80.4,7.0,,,,3,83.0,89381.0,1501545600,,,"[101447, 254123]",1511827200.0,29.0,[29],[14],"[1, 2, 3]","[5, 31]",,53790,[52623],"[960, 1025, 1120, 2453]",[7558],Resident Evil Revelations Collection,,[130],"[1, 2]",1.891556231066324,12.0,91.0,3.0,"[112209, 112412, 127711]","[137232, 170979, 170980, 170981, 170982, 170983, 170984, 170985, 170986]","[7291, 11668, 13210, 18225, 19686, 19817, 25646, 102584, 103292, 105049]",resident-evil-revelations-collection,,,,A bundle containing Resident Evil Revelations on a game card and download codes for the Resident Evil Revelations 2 episodes. Includes all previously released DLC for the games.,"[1, 19, 21, 268435461, 268435487, 536871872, 536871937, 536872032, 536873365]","[1, 19, 21]",,85.7,10.0,1579219200,https://www.igdb.com/games/resident-evil-revelations-collection,,,"[25376, 25377]",[61582]
4,,,,,,,0,,,1537833600,,,[1601775],1552608000.0,,,,[1],"[13, 32]",,110350,[75059],,,Bargain Hunter,,[130],,1.0,1.0,,,[166435],"[251937, 251938, 251939, 251940, 251941, 251942]","[27744, 27792, 28277, 33603, 37419, 51577, 55888, 65827, 82117, 87975]",bargain-hunter,,,,"Know a bargain when you see one? Sift the gems from the garbage - and you could make it big! Play as an up-and-coming bargain hunter looking to make his or her fortune turning ""trash"" into cash! Start with a few bucks and aim to become fabulously wealthy... or go bust trying!","[268435469, 268435488]",,,,,1552694400,https://www.igdb.com/games/bargain-hunter,,,[25539],"[90256, 90257]"
5,[25797],78.5,3.0,,[8458],,0,,89281.0,1558396800,,,,1571097600.0,,,,[2],[5],1.0,118848,[83758],,,Overwatch: Legendary Edition,,[130],[1],1.0,2.0,93.0,0.0,[175297],"[325381, 325382, 325383, 325384, 325385, 325386]","[27270, 32902, 38030, 43367, 103281, 103292, 103298, 103301, 105049, 106805]",overwatch-legendary-edition,,,,"Join the fight for the future in the world of Overwatch® and choose your hero from a diverse cast of soldiers, scientists, adventurers, and oddities. Bend time, defy physics, and unleash a dizzying array of extraordinary powers and weapons. Engage your enemies in iconic locations from around the globe in the ultimate team-based shooter. 
 
Overwatch: Legendary Edition includes: 
 
Redeemable code for Nintendo Switch Online Individual Membership 3-month subscription (Terms apply. nintendo.com/switch-online) 
5 Legendary Hero Skins 
5 Epic Hero Skins 
5 Origin Hero Skins 
And more.","[1, 268435461]",[1],,85.75,3.0,1579219200,https://www.igdb.com/games/overwatch-legendary-edition,8173.0,Legendary Edition,[29802],"[114888, 117254, 117255, 117256, 117257, 117258, 117259]"
6,,,,,,,0,,62642.0,1517356800,,,[1192811],1517875200.0,,,,,,,85507,[61999],,,Black Hole,,[130],,1.866395407167939,,,,[145623],"[181046, 181047, 181048, 181049, 181050]",,black-hole--2,,,,An action-packed space shooter.,,,,,,1518048000,https://www.igdb.com/games/black-hole--2,,,,
7,,,,,,,0,,85300.0,1532908800,,,[1574929],,,,,,,,106307,,,,Kamen Rider: Climax Scramble,,[130],,1.0,16.0,,,[156509],,,kamen-rider-climax-scramble,,,,,,,,,,1574467200,https://www.igdb.com/games/kamen-rider-climax-scramble,,,,
8,[24882],,,[23044],,,0,521.0,88635.0,1536883200,,,[1614993],1584662400.0,,,,"[1, 2, 3, 4]",[13],25.0,109462,[69858],,[9587],Animal Crossing: New Horizons,,[130],[3],15.48792021590841,116.0,,,[171106],"[307853, 307854, 307855, 308199, 308200, 308201, 308202, 308203, 308204, 308205]","[36258, 79134, 87485, 100806, 101573, 105264, 106008, 112754, 114766, 115392]",animal-crossing-new-horizons,,,"If the hustle and bustle of modern life’s got you down, Tom Nook has a new business venture up his sleeve that he knows you’ll adore: the Nook Inc. Deserted Island Getaway Package! Sure, you’ve crossed paths with colorful characters near and far. Had a grand time as one of the city folk. May’ve even turned over a new leaf and dedicated yourself to public service! But deep down, isn’t there a part of you that longs for…freedom? Then perhaps a long walk on the beach of a deserted island, where a rich wealth of untouched nature awaits, is just what the doctor ordered!","If the hustle and bustle of modern life’s got you down, Tom Nook has a new business venture up his sleeve that he knows you’ll adore: the Nook Inc. Deserted Island Getaway Package! Sure, you’ve crossed paths with colorful characters near and far. Had a grand time as one of the city folk. May’ve even turned over a new leaf and dedicated yourself to public service! But deep down, isn’t there a part of you that longs for…freedom? Then perhaps a long walk on the beach of a deserted island, where a rich wealth of untouched nature awaits, is just what the doctor ordered! 
 
Peaceful creativity and charm await as you roll up your sleeves and make your new life whatever you want it to be. Collect resources and craft everything from creature comforts to handy tools. Embrace your green thumb as you interact with flowers and trees in new ways. Set up a homestead where the rules of what goes indoors and out no longer apply. Make friends with new arrivals, enjoy the seasons, pole-vault across rivers as you explore, and more!",[268435469],,,,,1583366400,https://www.igdb.com/games/animal-crossing-new-horizons,,,"[28118, 28119, 32890]","[116668, 116669, 116670]"
9,[26259],,,"[26753, 26754]",,,0,,84104.0,1573084800,,,,1574899200.0,,,,,"[31, 34]",,125276,[86839],,,Kissed by the Baddest Bidder,,[130],,1.0,,,,[179095],"[337907, 337908, 337909, 337910, 337911, 337912]","[26870, 74946, 75240, 81275, 105059, 105060, 106992, 108778, 111130, 112416]",kissed-by-the-baddest-bidder,,,"Working at Japan’s first hotel & casino, you stumble upon a black-market auction, and end up as one of the items for sale. “I’ll let you decide who buys you.” Five men place the winning bid, and now you’re completely at their mercy…","Kissed by the Baddest Bidder is an otome game by Voltage Inc. You are a maid at Japan's first casino hotel where you stumble onto it's dark secret, the black market auctions, and end up being bought by one of the bidder managers.","[268435487, 268435490]",,,,,1573171200,https://www.igdb.com/games/kissed-by-the-baddest-bidder,,,[31030],[122628]
