recordedDate,QID60_TEXT,QID59_TEXT,QID53,QID54,QID55,QID56
Recorded Date,Q67 - Where is your nationality?,"Q66 - To which academy do you belong? If it is affiliated, what is the affiliatio...",Q55 - What is your gender?,Q57 - What is your age?,Q59 - What is your race/ethnicity?,Q61 - How would you describe yourself in terms of political ideology?
2016-08-04 12:07:50,usa,,Female,25,White/Caucasian,5
2016-08-04 12:07:50,,,,,,
2016-08-04 06:18:35,,,,,,
2016-08-03 22:27:59,USA,Ascension,Male,45,White/Caucasian,3 Independent/Moderate
2016-08-02 16:57:03,,Real World Martial Arts- Renzo Gracie Affiliate,Male,26,White/Caucasian,4
2016-08-01 16:30:29,50/50 Irish/Welsh,,Male,32,White/Caucasian,3 Independent/Moderate
2016-08-01 10:49:43,,,,,,
2016-07-30 13:47:16,,Rubao Carioca- Section 8 MMA,Female,36,White/Caucasian,3 Independent/Moderate
2016-07-29 08:05:56,,,,,,
2016-07-28 19:08:00,American,Peoria Athletic Club- Jack McVicker,Male,43,White/Caucasian,0 Republican/Conservative
2016-07-27 10:59:53,Usa,,Female,28,White/Caucasian,5
2016-07-26 18:18:19,,,,,,
2016-07-25 13:08:19,US,Fabio Santos,Male,,White/Caucasian,2
2016-07-25 08:06:10,,,,,,
2016-07-25 01:04:35,france,Milton Bastos,Male,41,White/Caucasian,5
2016-07-24 01:44:00,,,,,,
2016-07-21 08:01:24,American,Relson Gracie,Male,53,White/Caucasian,2
2016-07-19 14:01:37,Spain,,Male,25,Hispanic/Latino,3 Independent/Moderate
2016-07-18 08:30:53,Czech,,Male,28,White/Caucasian,5
2016-07-18 07:17:55,Usa,,Male,35,Hispanic/Latino,4
2016-07-18 05:24:11,UK,,Male,26,White/Caucasian,6 Democratic/Liberal
2016-07-15 04:03:58,United States,,Male,46,White/Caucasian,2
2016-07-15 02:47:19,US,,Male,37,White/Caucasian,3 Independent/Moderate
2016-07-14 19:56:16,,,,,,
2016-07-14 15:40:10,,,,,,
2016-07-14 15:37:00,,,,,,
2016-07-14 13:37:58,British/American,,Male,26,White/Caucasian,3 Independent/Moderate
2016-07-14 10:52:49,,,Male,36,White/Caucasian,5
2016-07-14 09:47:43,,,,,,
2016-07-14 08:18:21,,,,,,
2016-07-14 08:15:47,USA,,Male,37,White/Caucasian,3 Independent/Moderate
2016-07-13 21:01:37,usa/french,,Male,44,White/Caucasian,6 Democratic/Liberal
2016-07-13 20:43:17,,,,,,
2016-07-13 16:37:24,,,,,,
2016-07-13 14:28:01,USA,River city warriors pedro sauer,Male,27,White/Caucasian,3 Independent/Moderate
2016-07-13 13:58:24,Canadian,,Male,49,White/Caucasian,6 Democratic/Liberal
2016-07-13 13:25:29,Irish/German/English,Boise Base/ Alliance Affilate,Male,42,White/Caucasian,3 Independent/Moderate
2016-07-13 02:28:36,USA,Aloha Academy Jiu Jitsu,Male,41,Asian/Pacific Islander,3 Independent/Moderate
2016-07-12 20:33:05,American,,Male,37,White/Caucasian,2
2016-07-12 18:43:22,American,,Male,42,White/Caucasian,5
2016-07-12 18:31:04,"American ",,Male,32,White/Caucasian,3 Independent/Moderate
2016-07-12 18:27:09,,,,,,
2016-07-12 18:25:13,,,,,,
2016-07-12 18:22:40,,,,,,
2016-07-12 17:01:42,American / USA,Richmond BJJ - Revolution BJJ,Female,27,White/Caucasian,3 Independent/Moderate
2016-07-12 16:41:37,,,Male,34,White/Caucasian,4
2016-07-12 15:51:15,Scotland,Not affiliated,Male,31,White/Caucasian,6 Democratic/Liberal
2016-07-12 15:44:25,,,Male,31,White/Caucasian,1
2016-07-12 15:31:27,,,Male,25,Asian/Pacific Islander,4
2016-07-12 12:50:38,,,,,,
2016-07-12 11:56:25,Ukranian,Tom DeBlass - OCBJJ,Male,28,White/Caucasian,3 Independent/Moderate
2016-07-12 11:00:23,,,,,,
2016-07-12 09:41:02,Scottish,,Male,36,Native American/American Indian,4
2016-07-12 09:39:44,"African-American ","Vandry Jiu-Jitsu - A Macho Affiliate. Before that Anibal Lobo Brazilian Jiu Jitsu -Pedro Sauer affiliate ",Male,40,Black/African American,6 Democratic/Liberal
2016-07-12 07:25:33,,Roger Gracie Academy Gymbox,Male,36,White/Caucasian,5
2016-07-12 07:06:35,,,,,,
2016-07-12 05:42:27,,,,,,
2016-07-12 02:38:48,,,,,,
2016-07-11 19:20:33,,,,,,
2016-07-11 16:36:12,polish,,Male,36,White/Caucasian,2
2016-07-11 15:27:30,,,,,,
2016-07-11 13:09:50,,,,,,
2016-07-11 12:43:26,,,,,,
2016-07-11 12:23:28,Israeli American,,Male,43,Asian/Pacific Islander,3 Independent/Moderate
2016-07-11 10:19:19,American,,Female,22,Asian/Pacific Islander,5
2016-07-11 09:47:59,american,,Male,37,White/Caucasian,3 Independent/Moderate
2016-07-11 03:32:05,,,,,,
2016-07-11 03:22:49,Singaporean,,Male,20,Asian/Pacific Islander,3 Independent/Moderate
2016-07-10 23:46:22,Colombian,,Male,34,Hispanic/Latino,3 Independent/Moderate
2016-07-10 23:28:22,,,,,,
2016-07-10 23:25:05,,,Male,37,White/Caucasian,
2016-07-10 23:16:57,,,Female,30,Asian/Pacific Islander,2
2016-07-10 22:51:59,American,,Male,36,Hispanic/Latino,1
2016-07-10 18:38:02,,,Male,22,Hispanic/Latino,3 Independent/Moderate
2016-07-10 15:10:42,"USA ",Alliance - Naperville IL,Male,49,White/Caucasian,3 Independent/Moderate
2016-07-10 14:54:34,Turkey,Kazgan MMA,Male,19,White/Caucasian,3 Independent/Moderate
2016-07-10 14:16:03,Hungarian,,Male,35,White/Caucasian,6 Democratic/Liberal
2016-07-10 13:46:47,,,Male,28,White/Caucasian,5
2016-07-10 13:38:39,Poland,Alliance Warszawa,Male,30,White/Caucasian,5
2016-07-10 13:08:03,,,,26,White/Caucasian,0 Republican/Conservative
2016-07-10 11:15:58,,,Male,28,White/Caucasian,2
2016-07-10 10:33:53,american,,Female,24,White/Caucasian,4
2016-07-10 08:00:34,Montenegrin,,Male,28,White/Caucasian,3 Independent/Moderate
2016-07-10 05:38:04,Hungarian,,Male,21,White/Caucasian,3 Independent/Moderate
2016-07-10 03:28:53," Canadian",Kaboom bjj - rafael lavato jr affiliate,Male,34,Asian/Pacific Islander,6 Democratic/Liberal
2016-07-10 02:22:24,Turkish,Corvos combat,Male,26,White/Caucasian,4
2016-07-10 01:40:50,,,Male,35,White/Caucasian,3 Independent/Moderate
2016-07-09 21:40:19,irish,,Male,33,White/Caucasian,0 Republican/Conservative
2016-07-09 20:57:20,,,,,,
2016-07-09 20:39:47,ECUADORIAN,"TEAM PREDADOR ",Male,24,White/Caucasian,3 Independent/Moderate
2016-07-09 19:58:05,,,,,,
2016-07-09 19:18:30,,,,,,
2016-07-09 19:01:40,"German ",,Male,23,White/Caucasian,3 Independent/Moderate
2016-07-09 18:53:41,,,,,,
2016-07-09 18:32:12,,,,,,
2016-07-09 17:37:49,,,Male,33,White/Caucasian,3 Independent/Moderate
2016-07-09 17:25:52,,,,,,
2016-07-09 16:59:12,Ireland,,Male,18,White/Caucasian,3 Independent/Moderate
2016-07-09 16:02:19,DE,,Male,30,White/Caucasian,4
2016-07-09 15:56:32,Dutch,,Male,27,White/Caucasian,3 Independent/Moderate
2016-07-09 15:55:34,,,,,,
2016-07-09 15:17:19,,,,,,
2016-07-09 15:08:29,Montenegrin,,Male,21,White/Caucasian,3 Independent/Moderate
2016-07-09 15:03:45,,,Male,,White/Caucasian,6 Democratic/Liberal
2016-07-09 14:49:21,"American, originally from the Soviet Union (Ukraine)",UCLA Recreation Martial Arts,Female,33,White/Caucasian,6 Democratic/Liberal
2016-07-09 14:01:25,,,,,,
