Business,Category,Lifeline,Latitude,Longitude,Zipcode
WERS 88.9FM,radiostations,5,42.352707,-71.064118,02108
WBUR 90.9 FM,radiostations,5,42.350547,-71.1155277,02215
The David Pakman Show,radiostations,5,42.31001,-71.11348,02130
WMBR 88.1 FM,radiostations,5,42.3591755,-71.087723,02142
Weekly Dig,printmedia,5,42.34347,-71.0635,02118
WGBH,radiostations,5,42.3563,-71.14867,02135
WJIB Radio 740,radiostations,5,42.38622,-71.13886,02138
The Boston Phoenix,printmedia,5,42.3453446477652,-71.1004069447517,02215
WBCN 104 FM,radiostations,5,42.35831,-71.15361,02215
94.9FM ZUMIX,radiostations,5,42.36825,-71.03768,02128
T-Mobile,mobilephones,5,42.351102,-71.076097,02116
T-Mobile,mobilephones,5,42.3521377680516,-71.0578697919846,02111
T-Mobile,mobilephones,5,42.3741914412557,-71.0860406103203,02143
New England Sports Network,televisionstations,5,42.347193,-71.09831,02215
WZBC 90.3 FM,radiostations,5,42.3317686,-71.1598742,02467
Boston Metro Publishing,printmedia,5,42.35141,-71.04958,02210
Mix 104.1 - WWBX-FM,radiostations,5,42.3592,-71.14823,02135
The Boston Globe,printmedia,5,42.3584887102056,-71.056541970639,02109
Improper Bostonian,printmedia,5,42.3487049,-71.0719859,02116
WBZ Newsradio 1030,radiostations,5,42.36508,-71.1342,02134
The Christian Science Monitor,printmedia,5,42.3449324,-71.0825621,02115
WBQT - Hot 96.9,radiostations,5,42.31751,-71.05028,02125
Cambridge Community Television,televisionstations,5,42.3635314,-71.1008248,02139
Spare Change News,printmedia,5,42.3716871644853,-71.1143088340759,02138
WBOS 92.9 FM,radiostations,5,42.317772,-71.050181,02125
Asian American Civic Association,printmedia,5,42.34895,-71.06168,02111
T-Mobile,mobilephones,5,42.3425858033639,-71.1208375,02446
WHDH-TV,televisionstations,5,42.362056,-71.061755,02114
T-Mobile,mobilephones,5,42.374276,-71.119115,02138
T-Mobile,mobilephones,5,42.389313,-71.143341,02138
Stuff Boston Magazine,printmedia,5,42.3453446477652,-71.1004069447517,02215
Magic 106.7 Wmjx-Fm,radiostations,5,42.317768,-71.050242,02125
WZLX-Fm Classic Rock,radiostations,5,42.405431,-71.074978,02155
Boston Herald,printmedia,5,42.344918,-71.0417973,02210
T-Mobile,mobilephones,5,42.368025,-71.076303,02141
T-Mobile,mobilephones,5,42.4040787,-71.0800517,02155
Kiss 108 Radio,radiostations,5,42.40541,-71.07455,02155
World Journal-Chinese Daily,printmedia,5,42.3504088,-71.0585365,02111
Boston Magazine,printmedia,5,42.3430373,-71.0850205,02115
In Newsweekly,printmedia,5,42.34401,-71.07104,02116
T-Mobile,mobilephones,5,42.3430725,-71.0664811,02118
Boston City Paper,printmedia,5,42.3566818237305,-71.0654220581055,02108
Bay Windows,printmedia,5,42.33888,-71.06774,02118
WUNR 1600 AM,radiostations,5,42.3551642149687,-71.0618729889393,02111
WHRB 95.3 FM,radiostations,5,42.37215,-71.11365,02138
WROR 105.7 Fm,radiostations,5,42.317785,-71.050134,02125
WRBB 104.9FM,radiostations,5,42.3391198662888,-71.0874311306914,02115
Radio BDC,radiostations,5,42.3513412,-71.04953,02210
T-Mobile,mobilephones,5,42.328235,-71.060028,02125
JAM'N 94.5,radiostations,5,42.40541,-71.07455,02155
98.5 The Sports Hub,radiostations,5,42.3592071533203,-71.1482391357422,02135
WEEI AM 850 Sports Radio,radiostations,5,42.3574905,-71.1477585,02135
WUMB Radio 91.9 FM,radiostations,5,42.313342,-71.039674,02125
103.3 AMP Radio,radiostations,5,42.3592,-71.14823,02135
