,id,age_ratings,aggregated_rating,aggregated_rating_count,bundles,category,cover,created_at,first_release_date,franchise,franchises,game_engines,game_modes,genres,involved_companies,name,parent_game,platforms,player_perspectives,popularity,release_dates,screenshots,similar_games,slug,storyline,summary,tags,themes,total_rating,total_rating_count,updated_at,url,videos,websites,rating,rating_count,keywords,collection,external_games,artworks,pulse_count,alternative_names,hypes,time_to_beat,multiplayer_modes
0,15459,[24597],78.0,1.0,[82374],1,91162.0,1450310400,1414454400.0,23.0,[23],[668],[1],[31],"[42508, 78272, 78273]",Alien: Isolation - Corporate Lockdown,4754,"[3, 6, 9, 12, 14, 48, 49]",[1],1.0,"[168961, 168962, 168963, 168964, 168965, 168966, 168967]","[29173, 304555, 304556]","[485, 22499, 25646, 27266, 55282, 102584, 105269, 109550, 119305, 120201]",alien-isolation-corporate-lockdown,"Following Weyland-Yutani's betrayal, Ransome came to a conclusion that Sevastopol Station had plunged into utter disaster and decided that he was going to escape the station, but not before erasing all data that the company would want to obtain. 
 
Ransome left his luxury penthouse and hastened through Solomons Habitation Tower to try to impede Wey-Yu as much as possible; he disabled the camera systems, sealed the window shutters of the outside of the station and deleted all server records. All whilst under the duress of the Drone and numerous Facehuggers that had made their way into the area. 
 
After surviving the Xenomorph encounter in Habitation, Ransome moved onto his next goal in the San Cristobal Medical Facility; remove all trace of his involvement. Whilst the Xenomorph stalks him in the facility, he steals numerous copies of Dr. Lingard's research files and also deletes a message that Lingard had sent to Marshal Waits regarding Ransome (a list of all the times he blackmailed or threatened someone). An explosion later engulfs an area of the facility, with the executive taking his leave in an elevator to comms. Ransome also manages to save a resident from a burning room during this experience. 
 
The elevator crashes into comms, with Ransome having to climb out of it. Once investigating around the Working Joe stricken area, he closes a message recorded by Nina Taylor to Sevastopol and takes an audio log recorded by Ellen Ripley in hopes of using it as a bargaining chip to get on-board the Torrens. Whilst experiencing a close encounter with the Drone, Ransome managed to override elevator security control and escape. 
 
His fate afterwards is unknown.","Welcome to Corporate Lockdown, the first expansion pack for Alien: Isolation. This pack features three all-new maps:for Survivor Mode, a time-based challenge to test your skills. 

Can you evade the Alien for long enough to survive or will you try to take the Alien head-on? 

- Three new maps, stretching from the Corporate Penthouse to the Medlabs. 
- New playable character Ransome gives you the firepower to take the fight to your enemies. 
- Upload your best times to the Alien: Isolation leaderboards and challenge the world.","[18, 19, 21, 268435487]","[18, 19, 21]",78.0,1.0,1580947200,https://www.igdb.com/games/alien-isolation-corporate-lockdown,[26942],"[106486, 106487, 106488, 106489, 106490, 106491, 106492, 106493]",,,,,,,,,,,
1,15460,[24596],65.0,1.0,"[41606, 46714, 82374]",1,91160.0,1450310400,1412553600.0,23.0,[23],[668],[1],[31],"[42777, 78270, 78271]",Alien: Isolation - Crew Expendable,4754,"[3, 6, 9, 12, 14, 48, 49]",[1],1.0,"[168954, 168955, 168956, 168957, 168958, 168959, 168960]","[304554, 354967, 354968, 354969]","[485, 22499, 25646, 27266, 55282, 102584, 105269, 109550, 119305, 120201]",alien-isolation-crew-expendable,"It begins with a shot of the hypersleep vault aboard the Nostromo, but it then cuts to a shot of Ripley, Lambert, Parker, Ash and Dallas discussing the Alien in the ship's mess hall following Brett's death. They figure that the Alien is using the ducts inside the ship to move around, and Dallas suggests leading the Alien to the main airlock. The player then gets to decide if Ripley, Parker or Dallas goes into the ducts. The player grabs a flamethrower, motion tracker, Maintenance Jack and possibly a flare and Medikit. They then meet with Ash, who tells them that the security systems has shut a number of doors, so they'll have to gather equipment en route. The player descends a ladder to B Deck, and Ash seals the hatch behind them. 
 
While avoiding being killed by the Alien, the player seals maintenance hatches 00B1 and 00B2. They then pass through the landing claw bay, where Brett's corpse is located, and seal either hatch 00B3 or 00B4. After sealing the hatch, Ash tells them to find the primary air shaft system, and lead the Alien to C Deck. There, Ash can connect to the airlock systems from his terminal. After entering the primary air shafts, the player's motion tracker begins malfunctioning. Lambert finds the player on her motion tracker and tells them that the Alien is also inside the shafts. Lambert attempts to guide the player through the shafts while they avoid the Alien. Eventually, the player reaches the end of the shafts and drops down to C Deck. 
 
The player then has to connect Ash to the airlock systems. Ash tells them that he's opening the outer airlock, but it'll take some time, so they should find somewhere to hide. Eventually, Ash informs them that it's primed, and instructs the player to wait for the Alien to enter the outer airlock chamber and be ready to close it in. Once the Alien enters the airlock, the player approaches the airlock and presses the button to seal the airlock. However, Ash tells them that something strange is happening, and the switch does not work. An alarm inside the airlock activates, and the Alien flees, knocking out the player. Once they wake up, Ash is waiting for them. 
 
It ends with a shot of the med lab, as Ash's voice is heard delivering his iconic monologue from the movie: ""Bring back lifeform. Priority one. All other priorities rescinded. You still don't understand what you're dealing with do you? Perfect organism. Its structural perfection is matched only by its hostility. I admire its purity. A survivor. Unclouded by conscience, remorse or delusions of morality. Last word. I can't lie to you about your chances. But... you have my sympathies.""","This additional content sees the original crew reunited aboard the Nostromo. Brett and Kane are dead; alongside Ash and Lambert, it is now down to you as Dallas, Parker or Ellen Ripley, to find a way to isolate the Alien and overcome the terror that confronts them. 
 
Alien: Isolation is a first-person survival horror game capturing the fear and tension evoked by Ridley Scott’s 1979 classic film. Players find themselves in an atmosphere of constant dread and mortal danger as an unpredictable, ruthless Xenomorph is stalking and killing deep in the shadows. Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive.","[18, 19, 21, 268435487]","[18, 19, 21]",75.15283829662536,6.0,1580947200,https://www.igdb.com/games/alien-isolation-crew-expendable,[12380],"[106478, 106479, 106480, 106481, 106482, 106483, 106484, 106485]",85.30567659325071,5.0,,,,,,,,,
2,15464,[24595],,,"[46714, 82374]",1,91164.0,1450396800,1413244800.0,23.0,[23],[668],[1],[31],"[42778, 78268, 78269]",Alien: Isolation - Last Survivor,4754,"[3, 6, 9, 12, 14, 48, 49]",[1],1.891572410849526,"[168947, 168948, 168949, 168950, 168951, 168952, 168953]","[304549, 304550, 304551, 304552, 304553]","[485, 22499, 25646, 27266, 55282, 102584, 105269, 109550, 119305, 120201]",alien-isolation-last-survivor,"It begins with a shot of Mother processing data and displaying the text ""INTERFACE 2037 READY FOR INQUIRY. EVALUATION OF POTENTIAL PROCEDURES TO TO ESCAPE NOSTROMO."" The screen then cuts to black and recalls the remaining crew's discussion on how they will take their chances in the shuttle. The screen then cuts to Ripley in the shuttle docking bay contacting Parker regarding the coolant cylinders. A short while later Ripley hears the Alien attack the two, with Ripley hearing their frantic screams. As she reaches them on C Deck, she realizes she's too late, only finding her fellow crewmembers' corpses in the room. She takes Parker's keycard from his body to unlock the door to engineering control. There, she is able to reverse a ship lockdown to access the area where the Self destruct system is located. 
 
Ripley arrives at the destination and initiates the self destruct system. The game then replicates the sequence in the original movie in which Ripley runs through the corridors of a perishing Nostromo under the duress of the Alien. As she manages to get on board the Narcissus, the screen fades to black and then cuts to a screen of the Narcissus broadcast system, with Ripley's voice being heard. She then delivers her final monologue seen at the end of the original movie: ""Final report of the commercial starship Nostromo. Third officer reporting. The other members of the crew - Kane, Lambert, Parker, Brett, Ash and Captain Dallas, are dead. Cargo and ship destroyed. I should reach the frontier in about six weeks. With a little luck, the network will pick me up. This is Ripley, last survivor of the Nostromo, signing off."" 
 
As the screen fades to black a second time, an extra line of dialogue can be heard: ""I'll see you soon Amanda. Be a good girl, I love you.""","As Ellen Ripley, it is down to you to complete the last mission on board the Nostromo. The rest of the crew are dead. In a desperate bid to survive you must set the ship’s self-destruct and attempt to reach the escape shuttle.","[18, 19, 21, 268435487]","[18, 19, 21]",89.93547464848669,6.0,1580947200,https://www.igdb.com/games/alien-isolation-last-survivor,,"[106470, 106471, 106472, 106473, 106474, 106475, 106476, 106477]",89.93547464848669,6.0,,,,,,,,,
3,15552,[24594],,,[82374],1,91161.0,1451347200,1421107200.0,23.0,[23],[668],[1],[31],"[42779, 78266, 78267]",Alien: Isolation - Safe Haven,4754,"[3, 6, 9, 12, 14, 48, 49]",[1],1.0,"[168940, 168941, 168942, 168943, 168944, 168945, 168946]","[304545, 304546, 304547, 304548]","[485, 22499, 25646, 27266, 55282, 102584, 105269, 109550, 119305, 120201]",alien-isolation-safe-haven,"Take charge of Hughes, Sevastopol Station’s Communications Manager. He's trapped in a safe room on the lower decks of the Station, and has to complete the ten tasks to restore communications and get out.","Welcome to Safe Haven, the third add-on content pack for Alien: Isolation, featuring the all-new Salvage Mode. How long can you survive? 

You've found the only safe room on Sevastopol but supplies are running out. You'll have to venture out, complete objectives and return to the safe room safely. But who's waiting for you out there? And what choices will you make to stay alive? 

- An all new Salvage Mode map, twice the size of any previous Survivor Mode map. 
- Play as Hughes, and get faster access to the Bolt Gun, Shotgun and EMP Mine. 
- Choose to explore the Gemini Systems or the Bacchus Apartments.","[18, 19, 21, 268435487]","[18, 19, 21]",,,1580947200,https://www.igdb.com/games/alien-isolation-safe-haven,[26941],"[5571, 106463, 106464, 106465, 106466, 106467, 106468, 106469]",,,,,,,,,,,
4,15553,[24598],,,[82374],1,91159.0,1451347200,1417478400.0,23.0,[23],[668],[1],[31],"[29558, 42780, 78274]",Alien: Isolation - Trauma,4754,"[3, 6, 9, 12, 14, 48, 49]",[1],1.445786205424763,"[168968, 168969, 168970, 168971, 168972, 168973, 168974]","[304569, 304570, 304571]","[485, 22499, 25646, 27266, 55282, 102584, 105269, 109550, 119305, 120201]",alien-isolation-trauma,"It is revealed in Reoperation that Lingard has been part of a camp during the Xenomorph outbreak on Sevastopol Station, though medical supplies are running low with numerous survivors in need of them. Additionally, she realizes that some of her research files have been stolen and needs to destroy the rest of them before anyone else can get to them. Once arriving at a section of the medical facility, she discovers that it has been destroyed and vandalized with graffiti. Whilst being hunted by the Xenomorph, Lingard sees Ransome in an upper section of the medical facility where all her research was kept. Lingard initiates an emergency hazard cleanse in the sector, with the area exploding and Ransome fleeing the scene. Lingard also collects some remaining medical supplies and later leaves. 
 
Lingard, in hopes of avoiding any conflict with the Xenomorph or any other threat on the station, attempts to take a different route within a ventilation shaft. Unfortunately, the shaft is invested with Facehuggers and Lingard uses a newfound flamethrower to combat them. When taking a different course, Lingard stumbles across a small hive which she quickly leaves after picking up an engineer's report. Once leaving the vent, she sees that her exit is covered in noxious gas, with two Working Joes wandering the area as well. After grabbing a gas mask off of a corpse, Lingard manages to vent out the gas and take her leave in an elevator, returning her to the camp. 
 
Once arriving at the camp, it is revealed that a horde of androids have infiltrated the camp and slaughtered its inhabitants, making Lingard the sole survivor. After a series of grave encounters, Lingard manages to access the emergency lockdown and flee in an elevator. 
 
Her fate afterwards is unknown.","Welcome to Trauma, the second add-on content pack for Alien: Isolation. This pack features three all-new maps for Survivor Mode, a time-based challenge to test your skills.

Face off against a range of enemies across the medical bays of Sevastopol station. Will you evade, distract or confront them? You'll have to act fast if you want to survive.

- Three new maps, including a claustrophobic scramble through the Sevastopol vents.
- Play as Chief Medical Officer Lingard and get faster access to Medikits and distraction IEDs.
- Destroy any trace of your research and save the survivors on the station.","[18, 19, 21, 268435487]","[18, 19, 21]",,,1580947200,https://www.igdb.com/games/alien-isolation-trauma,[26943],"[106496, 106497, 106498, 106499, 106500, 106501, 106502, 106503]",,,,,,,,,,,
5,15554,[24592],,,[82374],1,91155.0,1451347200,1425340800.0,23.0,[23],[668],[1],[31],"[42782, 78262, 78263]",Alien: Isolation – The Trigger,4754,"[3, 6, 9, 12, 14, 48, 49]",[1],1.0,"[168926, 168927, 168928, 168929, 168930, 168931, 168932]","[304515, 304516, 304517, 304518, 304519]","[485, 22499, 25646, 27266, 55282, 102584, 105269, 109550, 119305, 120201]",alien-isolation-the-trigger,"During the Xenomorph outbreak on Sevastopol, marshal Waits contacts deputy Ricardo who was located in Prisoner Processing and announced that he had supposedly located the Drone in an unspecified area on the station. He instructs the deputy to meet up with him as fast as he can and also suggested locking down the area as well. However, Waits' lead was proven to be false as the Drone was in fact revealed to be in Prisoner Processing with Ricardo still in it. Ricardo before reaching an elevator, managed to collect numerous prisoner tags from deceased inmates on the way, collect the visitor registry data and lockdown the area's armory. 
 
Waits informs Ricardo about Gardiner, a fellow marshal who was supposed to have delivered a package, was not checking in. The elevator stops at Seegson Synthetics with Ricardo exploring the area. The area is filled with corpses, with the one closest to the package presumably being Gardiner. The ""package"" is revealed to be explosives, with Waits intending to use them against the Alien. Ricardo takes them from a table and leaves for the elevator, but not before finding a private message sent from Nina Taylor to Waits regarding the flight recorder. The elevator is revealed to be dysfunctional, with Ricardo being forced to turn the power back on for it to work. Ricardo revamps power to the area whilst also unintentionally activating numerous Working Joe androids in the process that began to prowl the perimeter. Ricardo also activates an alarm, attempting to lure the Alien to him so that it can follow him to the area where he will set the explosives. He later calls for the elevator and escapes. 
 
Ricardo reaches the area, the Alien having followed him. Under the duress of the Drone, Ricardo manages to send a conformation message to Waits to update the marshal on his progress and activate an evac alarm, encouraging all remaining survivors within the quarters to flee the area. Ricardo eventually plants the explosives and takes leave in an elevator. As the screen cuts to black and displays the score menu, a muffled explosion can be heard, shortly followed by the beginning of Diane Verlaine's distraught message sent to Sevastopol, (audio log 32). This reveals that the explosion that severed the EVA line and separated Amanda from Taylor and Samuels, thus kick-starting Ripley's journey throughout Sevastopol, was in-fact the result of Ricardo's set explosives.","Welcome to The Trigger, the fifth add-on content pack for Alien: Isolation.

Can you make Sevastopol safe? You’ve been given a box of explosives and the locations to set them. All you need to do now is pull the trigger… and stay alive.

- Features three all-new Survivor Mode maps. Can you survive and get the highest score?
- Play as Ricardo and learn the truth behind the explosives on board Sevastopol.
- Avoid security alarms, take on Working Joes and above all, survive the Alien.","[18, 19, 21, 268435487]","[18, 19, 21]",,,1580947200,https://www.igdb.com/games/alien-isolation-the-trigger,[26939],"[106443, 106444, 106445, 106446, 106447, 106448, 106449, 106450]",,,,,,,,,,,
6,15555,[24593],,,[82374],1,91157.0,1451347200,1423526400.0,23.0,[23],[668],[1],[31],"[42783, 78264, 78265]",Alien: Isolation - Lost Contact,4754,"[3, 6, 9, 12, 14, 48, 49]",[1],1.445786205424763,"[168933, 168934, 168935, 168936, 168937, 168938, 168939]","[304532, 304533, 304534]","[485, 22499, 25646, 27266, 55282, 102584, 105269, 109550, 119305, 120201]",alien-isolation-lost-contact--1,The ever-unfortunate Axel must use his wits to evade danger and escape from the remote area of Sevastopol Station in which he's stranded.,"Welcome to Lost Contact, the fourth add-on content pack for Alien: Isolation, returning to the epic Salvage Mode. 

Trapped in deep space on board Sevastopol, you'll need to explore the station to complete objectives and survive. Can you evade your enemies across ten waves of challenges, or will you take them head-on?

- The second all new Salvage Mode map, featuring the Lorenz Private Wards and the Emergency Power Plant.
- Play as fan-favourite Axel and equip yourself with the Revolver and Boltgun.
- Try to survive encounters with Working Joes, other humans and the terrifying Alien itself.","[18, 19, 21, 268435487]","[18, 19, 21]",,,1580947200,https://www.igdb.com/games/alien-isolation-lost-contact--1,[26940],"[106453, 106454, 106455, 106456, 106457, 106458, 106459, 106460]",,,,,,,,,,,
7,21595,[9213],,,,1,73671.0,1469404800,1418688000.0,11.0,[11],,[1],[12],"[51826, 51827, 51828, 51829]",Middle-earth: Shadow of Mordor - Lord of Hunt,3025,"[3, 6, 9, 12, 14, 48, 49]",[2],1.0,"[54224, 54225, 54226, 54227, 54228, 54229, 54230]","[109992, 109993, 109994, 110775, 110776]","[54775, 78632, 96217, 103168, 103303, 105049, 106987, 113109, 115278, 115280]",middle-earth-shadow-of-mordor-lord-of-hunt,Together Torvin and Talion hunt the wildest beasts of Mordor turning them against Sauron's forces.,"Lord of Hunt introduces the new Beastmaster Warchiefs into the game, and involves Talion joining with Torvin using his powers of Domination to turn these new beasts against the Warchiefs, proving that Mordor cannot be tamed.","[1, 23, 268435468, 536871453, 536874009]","[1, 23]",69.40846046587569,12.0,1566691200,https://www.igdb.com/games/middle-earth-shadow-of-mordor-lord-of-hunt,[9115],"[51524, 51525]",69.40846046587569,12.0,"[541, 3097]",,,,,,,,
8,53360,"[25081, 26831]",,,,1,88134.0,1501545600,1418688000.0,11.0,[11],,[1],"[12, 31]","[81947, 81948]",Middle-earth: Shadow of Mordor - Lord of the Hunt,3025,"[3, 6, 9, 12, 14, 48, 49]",[2],1.891564320978979,"[172828, 172829, 172830, 172831, 172832, 183787, 183788]","[320002, 320003, 320004, 320005, 320006]","[78632, 80916, 81249, 81680, 96217, 101608, 105049, 106987, 115653, 119171]",middle-earth-shadow-of-mordor-lord-of-the-hunt,"Together Torvin and Talion hunt the wildest beasts of Mordor turning them against Sauron's forces. Hunt new monsters, uncover hidden lairs, earn unique runes and dominate deadly creatures to turn against your enemies.","Lord of Hunt introduces the new Beastmaster Warchiefs into the game, and involves Talion joining with Torvin using his powers of Domination to turn these new beasts against the Warchiefs, proving that Mordor cannot be tamed. 
 
Unlocks the exclusive Beast-hunter Skin and Test of the Wild Challenge Mode. This content included in Middle-earth: Shadow of Mordor Season Pass.","[1, 23, 38, 268435468, 268435487]","[1, 23, 38]",,,1581811200,https://www.igdb.com/games/middle-earth-shadow-of-mordor-lord-of-the-hunt,[32789],"[111625, 129060, 129061]",,,,2624.0,,,,,,,
9,24420,,60.0,1.0,"[24421, 77648]",1,,1474761600,1461801600.0,,,,[1],"[12, 16, 31]",[39929],SteamWorld Heist: The Outsider,15167,"[3, 6, 14, 37, 46, 48]",[4],1.0,"[57521, 57522, 57523, 57524, 57525, 57526]",[214909],"[25311, 26950, 55038, 74701, 78632, 96217, 101608, 106987, 114009, 114290]",steamworld-heist-the-outsider,,"""SteamWorld Heist: The Outsider is the game’s first DLC pack. 
Captain Piper stumbles upon a new ally with a past shrouded in mystery. Dive into the action with new playable character and take on new missions with brand-new weapons, gear and a shipload of hats!

All new content blends seamlessly into the game. Aside from starting afresh, you can pick up earlier save files and discover who the outsider is pretty much immediately…""","[1, 18, 268435468, 268435472, 268435487]","[1, 18]",60.0,1.0,1530403200,https://www.igdb.com/games/steamworld-heist-the-outsider,[10031],"[9686, 9687]",,,,1937.0,[78136],,,,,,
