,city,date,product,prodcode,quantity,weight_lb,price_usd
0,Chicago,Jan 23,Strawberries,4323,465,8.046408174722457,3.9793752531055366
1,Chicago,Jan 23,Grapes,4272,158,3.2507513434160504,3.158284073835239
2,Chicago,Jan 23,Cucumber,4062,151,9.544431970757433,1.1073927477933467
3,Chicago,Jan 23,Pear,4412,420,6.790945839835332,5.851953686005436
4,Chicago,Jan 23,Kiwi,4030,320,5.5251875556306915,5.009331416594796
5,Chicago,Jan 23,Apple (Fuji),4131,184,5.1476196677424015,2.5254919301019982
6,Chicago,Jan 23,Onion,4159,489,3.6549985837191348,4.710636822297238
7,Chicago,Jan 23,Pear,4412,409,3.8494538959115747,6.549766714009457
8,Chicago,Jan 23,Strawberries,4323,222,6.813228360167705,5.14759407020174
9,Chicago,Jan 23,Cucumber,4062,248,8.937270600232296,5.16816398864612
10,Chicago,Jan 23,Banana,4011,261,7.477491007465869,5.79533374242019
11,Chicago,Jan 23,Apricot,3302,327,1.9513241590699182,6.192324012075551
12,Chicago,Jan 23,Peach,4404,418,3.5513411640422423,1.3829194446094335
13,Chicago,Jan 23,Strawberries,4323,106,6.325358329457232,3.3430431658867747
14,Chicago,Jan 23,Lychee,4309,279,5.9762088119518015,3.671515034302138
15,Chicago,Jan 23,Mushroom,4650,371,10.155098966043443,6.458016270329245
16,Chicago,Jan 23,Peach,4404,114,10.079940468096176,2.787904900754802
17,Chicago,Jan 23,Avocado,4225,250,9.736810502992013,4.750656699552201
18,Chicago,Jan 23,Grapes,4272,486,6.018040581257083,3.8544130620080983
19,Chicago,Jan 23,Grapes,4272,214,3.1473714231979106,5.724269836000167
20,Chicago,Jan 23,Cucumber,4062,122,10.781559621891939,6.554611264867709
21,Chicago,Jan 23,Lychee,4309,105,6.061811801837758,3.855808888119646
22,Chicago,Jan 23,Apple (Fuji),4131,369,1.8102280196268112,4.766151980985888
23,Chicago,Jan 23,Onion,4159,500,7.991961630247534,4.884007256152109
24,Chicago,Jan 23,Corn,4078,268,3.8166076655266807,5.631973840668798
25,Chicago,Jan 23,Onion,4159,241,9.333803936908954,5.005544964945876
26,Chicago,Jan 23,Pear,4412,418,7.058607094641776,3.9928826721385127
27,Chicago,Jan 23,Corn,4078,113,9.813046597060747,3.374735850398429
28,Chicago,Jan 23,Pear,4412,295,3.2890152039239187,1.8854060457320885
29,Chicago,Jan 23,Grapes,4272,304,6.508453324739822,6.306840588944033
30,Chicago,Jan 23,Blueberries,4240,231,5.526550550526008,6.540481430618093
31,Chicago,Jan 23,Blueberries,4240,472,6.732296772138216,4.252119992882945
32,Chicago,Jan 23,Orange,4012,252,6.650455614970998,3.996773003507406
33,Chicago,Jan 23,Corn,4078,119,3.027731819706969,3.288082200125791
34,Chicago,Jan 23,Kiwi,4030,139,9.047385042696261,6.581165552861058
35,Chicago,Jan 23,Apple (Gala),4134,257,2.5730369784869254,1.7799163719406352
36,Chicago,Jan 23,Tomato,4796,414,3.448074104683474,4.924504241230898
37,Chicago,Jan 23,Mushroom,4650,420,5.562945138500073,3.8607769318856304
38,Chicago,Jan 23,Cucumber,4062,452,2.100826718751341,3.680472977482714
39,Chicago,Jan 23,Apricot,3302,138,7.203316835360602,6.268745056609624
40,Chicago,Jan 23,Apricot,3302,405,8.968789524398744,3.968026062031277
41,Chicago,Jan 23,Lemon,4958,233,2.242723219934851,5.324205080070533
42,Chicago,Jan 23,Apple (Gala),4134,439,9.766844876855613,2.0913938383106143
43,Chicago,Jan 23,Onion,4159,320,1.2372846081154423,6.448088425816969
44,Chicago,Jan 23,Apricot,3302,274,9.874337652581744,5.36953208539635
45,Chicago,Jan 23,Blueberries,4240,353,10.143218903243543,3.5896440616576
46,Chicago,Jan 23,Tomato,4796,311,10.932866920367815,4.493334212945775
47,Chicago,Jan 23,Avocado,4225,140,8.009393706033007,2.2887114378623665
48,Chicago,Jan 23,Pear,4412,193,7.872093096445315,4.502347582974472
49,Chicago,Jan 23,Kiwi,4030,145,2.231361840409227,4.634026856767014
50,Chicago,Jan 23,Lychee,4309,433,4.475137705868111,5.937070613051765
51,Chicago,Jan 23,Pear,4412,424,4.093694582721219,1.915429781912826
52,Chicago,Jan 23,Mushroom,4650,288,9.439812591066584,2.9795459909597413
53,Chicago,Jan 23,Corn,4078,389,3.164678953960538,2.507478461856954
54,Chicago,Jan 23,Apple (Gala),4134,181,9.635179507732392,2.7538844243623317
55,Chicago,Jan 23,Kiwi,4030,358,7.449356710468419,3.690954333660193
56,Chicago,Jan 23,Mushroom,4650,225,10.978506950172596,1.1674056076677517
57,Chicago,Jan 23,Pear,4412,439,4.057504090736621,2.036185890575871
