,city,date,product,prodcode,quantity,weight_lb,price_usd
0,Denver,Jan 23,Strawberries,4323,143,3.67276533045806,2.287925985781476
1,Denver,Jan 23,Eggplant,4081,347,7.587995761842468,4.401278139813804
2,Denver,Jan 23,Apple (Gala),4134,259,7.315426028915682,2.0892537496052683
3,Denver,Jan 23,Mushroom,4650,229,10.362666754052043,2.615049283625558
4,Denver,Jan 23,Mushroom,4650,313,3.6389704538742085,1.8062567127868534
5,Denver,Jan 23,Apricot,3302,148,6.825293767591939,4.920136846858077
6,Denver,Jan 23,Onion,4159,313,9.797948445030489,2.0957776623778046
7,Denver,Jan 23,Mushroom,4650,206,5.290454981895164,4.408446401380934
8,Denver,Jan 23,Eggplant,4081,424,7.407134728366509,5.32475590382237
9,Denver,Jan 23,Apple (Gala),4134,343,8.139939451543615,1.4125741299008951
10,Denver,Jan 23,Peach,4404,134,9.26270375531167,2.117474376130849
11,Denver,Jan 23,Eggplant,4081,484,10.109207670250909,1.8652045814320446
12,Denver,Jan 23,Mushroom,4650,224,1.4437695768196137,6.114434211771004
13,Denver,Jan 23,Onion,4159,323,8.502437396277674,2.5859589653788135
14,Denver,Jan 23,Apple (Fuji),4131,118,8.4948184319539,3.8583963882643735
15,Denver,Jan 23,Lemon,4958,182,5.378346292953939,3.9327967993682256
16,Denver,Jan 23,Corn,4078,342,6.735407578665764,2.5559465878410266
17,Denver,Jan 23,Corn,4078,499,5.542222863133066,5.3987229244317865
18,Denver,Jan 23,Peach,4404,280,3.706605574511923,1.7176283464301378
19,Denver,Jan 23,Eggplant,4081,132,4.665864287782461,1.5824854446342216
20,Denver,Jan 23,Onion,4159,259,5.396295251790434,4.1213285731151705
21,Denver,Jan 23,Eggplant,4081,380,6.332149004377425,5.526801382913255
22,Denver,Jan 23,Cucumber,4062,298,3.533524153963663,3.6518931143451483
23,Denver,Jan 23,Peach,4404,407,1.865875428263098,2.620467476686463
24,Denver,Jan 23,Onion,4159,117,2.324444200098515,1.6939159358385951
25,Denver,Jan 23,Peach,4404,152,7.575153540796601,5.765840025874787
26,Denver,Jan 23,Kiwi,4030,167,5.154115345771425,3.7850956269772724
27,Denver,Jan 23,Cucumber,4062,260,9.685562653280796,5.495028363214806
28,Denver,Jan 23,Avocado,4225,167,9.057344834320247,5.544470241200179
29,Denver,Jan 23,Peach,4404,188,2.3771667737979443,1.5914958181325347
30,Denver,Jan 23,Onion,4159,389,6.855754386377521,4.281600455543958
31,Denver,Jan 23,Strawberries,4323,257,9.92493868507445,5.641502161882818
32,Denver,Jan 23,Apricot,3302,225,9.619926534197294,1.2516588821541519
33,Denver,Jan 23,Lychee,4309,187,5.923019016929903,5.049714830610902
34,Denver,Jan 23,Banana,4011,303,9.299570700200276,5.161714695882984
35,Denver,Jan 23,Corn,4078,500,10.648535227123649,1.7566531066782773
36,Denver,Jan 23,Strawberries,4323,334,5.212984379543923,5.341217700764537
37,Denver,Jan 23,Strawberries,4323,399,8.935575135680848,5.760887087695301
38,Denver,Jan 23,Corn,4078,236,1.679602792300284,3.975433602952399
39,Denver,Jan 23,Cucumber,4062,287,6.233450946211815,1.6602556513622404
40,Denver,Jan 23,Grapes,4272,448,9.886580325523392,4.993278816365637
41,Denver,Jan 23,Peach,4404,269,2.5911506151081998,3.222558316215873
42,Denver,Jan 23,Peach,4404,465,3.376946189044975,6.118607698613778
43,Denver,Jan 23,Avocado,4225,265,7.635445216554218,6.292723242798821
44,Denver,Jan 23,Eggplant,4081,323,4.792339636315592,5.371228498080746
45,Denver,Jan 23,Lemon,4958,165,3.5720939533086495,3.2275515590095893
46,Denver,Jan 23,Onion,4159,486,4.658290428156033,2.607913575391285
47,Denver,Jan 23,Onion,4159,288,5.71454706506338,3.9748209187760954
48,Denver,Jan 23,Kiwi,4030,426,1.5629676138982178,4.5958536028862005
