,city,date,product,prodcode,quantity,weight_lb,price_usd
0,Los Angeles,Jan 23,Lemon,4958,263,6.08163824370131,5.760184470470995
1,Los Angeles,Jan 23,Orange,4012,197,5.265632890537382,5.506524528982118
2,Los Angeles,Jan 23,Lychee,4309,433,10.925478550582193,2.7054037257563324
3,Los Angeles,Jan 23,Mushroom,4650,100,3.647386843338609,4.847650470817462
4,Los Angeles,Jan 23,Tomato,4796,212,3.7912337239133196,3.7778109963051976
5,Los Angeles,Jan 23,Orange,4012,298,1.6459789184853435,4.087141052959487
6,Los Angeles,Jan 23,Peach,4404,320,7.9215206645894805,3.7314887600019575
7,Los Angeles,Jan 23,Orange,4012,168,3.547032116469927,3.4010790904518218
8,Los Angeles,Jan 23,Kiwi,4030,347,9.238356567919254,5.751639217394405
9,Los Angeles,Jan 23,Peach,4404,323,2.6588701480068266,4.910572256101296
10,Los Angeles,Jan 23,Mushroom,4650,129,1.3219864007085562,5.207943462207914
11,Los Angeles,Jan 23,Eggplant,4081,379,7.624400247586892,2.0051786380587147
12,Los Angeles,Jan 23,Pear,4412,453,2.158118466520682,6.410623398050666
13,Los Angeles,Jan 23,Lychee,4309,439,10.024497724790127,4.841362751228735
14,Los Angeles,Jan 23,Apple (Fuji),4131,248,5.578537153312937,3.7404270566999913
15,Los Angeles,Jan 23,Pear,4412,154,3.213758878479712,4.295346927270294
16,Los Angeles,Jan 23,Blueberries,4240,139,3.8901080771815035,5.628684256016277
17,Los Angeles,Jan 23,Lychee,4309,261,7.995037727733143,3.8222627074224875
18,Los Angeles,Jan 23,Corn,4078,418,10.02982610440813,4.829994847206399
19,Los Angeles,Jan 23,Mushroom,4650,275,3.658115818956867,2.842897470947355
20,Los Angeles,Jan 23,Corn,4078,175,4.589226935245097,2.144152772985399
21,Los Angeles,Jan 23,Lemon,4958,222,10.583512460929342,2.9722410056507216
22,Los Angeles,Jan 23,Pear,4412,225,7.69181305563543,2.2468649742892013
23,Los Angeles,Jan 23,Onion,4159,460,3.261828137841076,4.731715874304064
24,Los Angeles,Jan 23,Strawberries,4323,410,5.849097173241899,3.490186730073765
25,Los Angeles,Jan 23,Orange,4012,343,9.39724356464576,5.044440732244403
26,Los Angeles,Jan 23,Pear,4412,350,7.785222993721255,2.0857904058881105
27,Los Angeles,Jan 23,Cucumber,4062,496,5.087167912721634,3.2688328590244056
28,Los Angeles,Jan 23,Mushroom,4650,218,6.754290809575469,1.8731442382792012
