,city,date,product,prodcode,quantity,weight_lb,price_usd
0,New York,Jan 23,Mushroom,4650,109,8.513799838419073,2.660562100727111
1,New York,Jan 23,Banana,4011,206,3.9456292281625798,3.7153503834502772
2,New York,Jan 23,Tomato,4796,416,10.17425001761876,5.333035697601736
3,New York,Jan 23,Eggplant,4081,270,8.408296565245838,3.8981936950236564
4,New York,Jan 23,Peach,4404,472,10.479449253412895,2.90780225887429
5,New York,Jan 23,Strawberries,4323,360,3.1468391587259252,3.413902450259775
6,New York,Jan 23,Eggplant,4081,387,10.189459248725326,4.3735307998955255
7,New York,Jan 23,Blueberries,4240,159,4.986654210695997,2.254630055068992
8,New York,Jan 23,Eggplant,4081,291,6.657709834701382,5.958805314870552
9,New York,Jan 23,Grapes,4272,426,9.320074242679404,3.543621491198428
10,New York,Jan 23,Corn,4078,498,4.681084774318151,3.677137001673691
11,New York,Jan 23,Lemon,4958,235,6.360960911400617,2.4128193898592145
12,New York,Jan 23,Cucumber,4062,177,6.8122946274699645,6.259938641823829
13,New York,Jan 23,Mushroom,4650,107,1.6982600018382075,3.958121358673089
14,New York,Jan 23,Tomato,4796,211,8.243337558396162,2.557627294352278
15,New York,Jan 23,Pear,4412,429,10.401676600798965,5.300342889060267
16,New York,Jan 23,Tomato,4796,270,4.571146433334798,2.3603474088246004
17,New York,Jan 23,Strawberries,4323,253,2.8851085216039793,3.757978827483021
18,New York,Jan 23,Eggplant,4081,223,10.130773683288135,5.01746522684116
19,New York,Jan 23,Strawberries,4323,445,10.202040455839597,2.2411257209256292
20,New York,Jan 23,Cucumber,4062,119,8.652647664980032,4.304832937219181
21,New York,Jan 23,Lemon,4958,185,5.509486577752978,3.268257918325253
22,New York,Jan 23,Apple (Gala),4134,427,9.385139100905509,2.567871431610547
23,New York,Jan 23,Corn,4078,252,1.9338450515875594,1.678701785299927
24,New York,Jan 23,Apricot,3302,357,9.787204878614284,1.1884617016417907
25,New York,Jan 23,Grapes,4272,318,8.28437403009739,2.5990388602018357
26,New York,Jan 23,Apple (Fuji),4131,403,4.01244728025049,1.1048676868900658
27,New York,Jan 23,Apple (Gala),4134,294,8.700214242539369,1.4578720996156336
28,New York,Jan 23,Tomato,4796,215,8.844178863707931,5.1692513962276285
29,New York,Jan 23,Onion,4159,383,10.67469417671673,6.482836076896638
30,New York,Jan 23,Blueberries,4240,244,3.4372845115605744,3.1558889048406855
31,New York,Jan 23,Corn,4078,392,7.328662648680621,3.9398652086034422
32,New York,Jan 23,Strawberries,4323,450,10.201809135219083,1.7328546636505053
33,New York,Jan 23,Apricot,3302,460,5.474315878818743,1.627963845175691
34,New York,Jan 23,Apple (Gala),4134,325,6.5880065249279145,5.628105254634284
35,New York,Jan 23,Blueberries,4240,195,3.1449754159431906,1.5758108985843138
36,New York,Jan 23,Avocado,4225,382,2.5812462823465467,5.426720265904442
37,New York,Jan 23,Apple (Gala),4134,220,3.554049969883636,3.0369557776954026
38,New York,Jan 23,Corn,4078,272,1.4260785016929731,6.0509846247965475
39,New York,Jan 23,Strawberries,4323,137,5.179899079049938,5.825837156525814
40,New York,Jan 23,Avocado,4225,482,9.278066687681713,4.751758113992401
41,New York,Jan 23,Blueberries,4240,492,10.27080714472104,3.330792728601955
42,New York,Jan 23,Onion,4159,220,10.767859632498585,6.409956434415654
43,New York,Jan 23,Apricot,3302,209,9.057600417616777,4.445105016720482
44,New York,Jan 23,Strawberries,4323,259,9.30417036281433,5.499591679451988
45,New York,Jan 23,Tomato,4796,265,5.1156682797009125,1.4606031463714317
46,New York,Jan 23,Mushroom,4650,498,2.9593236564658585,5.4782232957892125
47,New York,Jan 23,Kiwi,4030,405,6.594055733759888,5.7659420449286705
48,New York,Jan 23,Apple (Gala),4134,361,3.7393021328141915,6.385422929679044
49,New York,Jan 23,Blueberries,4240,216,9.629884396516719,5.2544978847960016
50,New York,Jan 23,Orange,4012,288,9.181006931792945,3.2214303927263246
51,New York,Jan 23,Apple (Fuji),4131,100,9.11591742595192,2.259959048847668
52,New York,Jan 23,Apple (Fuji),4131,282,4.756985971541145,4.227322400338017
53,New York,Jan 23,Apple (Gala),4134,430,3.5372434705263007,2.609725216194056
54,New York,Jan 23,Cucumber,4062,304,2.971509259333834,5.691672720503994
55,New York,Jan 23,Cucumber,4062,134,2.5435958554036917,1.1319616192718969
56,New York,Jan 23,Apple (Fuji),4131,224,6.346009257435799,3.1637944511836396
57,New York,Jan 23,Apple (Gala),4134,152,7.127271634107456,6.539320139354095
58,New York,Jan 23,Eggplant,4081,478,1.1158213116228581,6.059863795083948
59,New York,Jan 23,Strawberries,4323,389,10.052685085730628,3.4312364168232308
60,New York,Jan 23,Corn,4078,453,7.492958230618388,3.101920665265061
61,New York,Jan 23,Apple (Fuji),4131,306,2.8346050077350813,3.3853369013173507
62,New York,Jan 23,Orange,4012,304,2.245895985490643,4.051958954916336
63,New York,Jan 23,Tomato,4796,480,6.707667214772664,2.2851195455528797
64,New York,Jan 23,Apple (Fuji),4131,447,10.153706736536698,5.257322455313989
65,New York,Jan 23,Tomato,4796,416,3.9128246587701145,4.939266512426548
66,New York,Jan 23,Onion,4159,337,2.1517566826893018,6.153987850667909
67,New York,Jan 23,Blueberries,4240,438,1.368490726687014,2.778217184613459
68,New York,Jan 23,Cucumber,4062,263,5.3715296404203405,5.578273412794807
69,New York,Jan 23,Lemon,4958,252,7.685368982469663,6.155047509609722
70,New York,Jan 23,Lychee,4309,121,7.061300078802742,3.182905813585967
71,New York,Jan 23,Eggplant,4081,301,2.633656878047623,4.297676344192587
72,New York,Jan 23,Lemon,4958,307,9.454671324929222,1.6751527817919851
73,New York,Jan 23,Cucumber,4062,187,5.584289279207588,3.295570954703726
74,New York,Jan 23,Eggplant,4081,322,2.8518008255399767,4.236077083996498
75,New York,Jan 23,Lychee,4309,245,5.744761721719988,6.431928256549873
76,New York,Jan 23,Cucumber,4062,167,9.661957485182212,1.4014049355406315
77,New York,Jan 23,Peach,4404,306,3.152957967738621,1.4784688165178523
78,New York,Jan 23,Apricot,3302,332,4.897348212287762,1.8991683849832044
79,New York,Jan 23,Avocado,4225,248,8.641544482647442,6.3942442566854885
80,New York,Jan 23,Apple (Fuji),4131,272,4.319520306424238,6.4144953583832836
81,New York,Jan 23,Corn,4078,329,8.528526840195992,4.798067901888863
82,New York,Jan 23,Eggplant,4081,297,6.3290766433347025,2.569408631208353
83,New York,Jan 23,Tomato,4796,302,3.6893460066756236,3.9653862903593113
84,New York,Jan 23,Strawberries,4323,166,5.083165274211206,5.198626528284513
85,New York,Jan 23,Orange,4012,371,7.694956685695797,3.816873488505371
86,New York,Jan 23,Lychee,4309,288,2.349255990306847,2.9704913354013116
87,New York,Jan 23,Eggplant,4081,314,7.284196373657324,1.5501184460241348
88,New York,Jan 23,Cucumber,4062,439,2.212337629660033,3.663226247089915
89,New York,Jan 23,Apple (Fuji),4131,373,10.189434501994402,2.103477468737401
90,New York,Jan 23,Mushroom,4650,350,9.86879857077729,2.1840730373747648
91,New York,Jan 23,Grapes,4272,392,5.152869886322879,3.5916519559919835
92,New York,Jan 23,Lychee,4309,210,4.368624595040456,3.4576347661437468
93,New York,Jan 23,Banana,4011,329,10.256252994341777,2.2388350975466893
94,New York,Jan 23,Onion,4159,101,1.7399373622378336,5.318241519760341
95,New York,Jan 23,Mushroom,4650,216,10.742076973360964,1.5570117733674125
96,New York,Jan 23,Banana,4011,162,10.21397700784728,6.054248125548475
97,New York,Jan 23,Mushroom,4650,154,6.117163886269555,3.9934626070549717
98,New York,Jan 23,Corn,4078,135,5.308956145960838,3.0011416332796217
99,New York,Jan 23,Orange,4012,486,9.458866780949757,6.420146609796212
100,New York,Jan 23,Peach,4404,390,10.555629895534366,2.3218382694991306
101,New York,Jan 23,Corn,4078,289,6.4343411437468605,1.4025743776233868
102,New York,Jan 23,Banana,4011,129,2.5900969727896155,3.935985900368542
103,New York,Jan 23,Pear,4412,488,4.695282183145173,1.2948500080034138
104,New York,Jan 23,Kiwi,4030,133,3.3201792881824077,1.3052665174705909
105,New York,Jan 23,Peach,4404,397,9.92367191107478,2.55655963185709
106,New York,Jan 23,Cucumber,4062,378,9.619784217444248,1.7870628151809798
107,New York,Jan 23,Mushroom,4650,481,5.021950535709038,3.5831405598670245
108,New York,Jan 23,Eggplant,4081,373,9.524292907794006,4.2042664066189905
109,New York,Jan 23,Onion,4159,468,9.606528336904013,3.432245031022467
110,New York,Jan 23,Apple (Fuji),4131,339,1.7403826166875662,6.248675028583967
111,New York,Jan 23,Peach,4404,387,7.009636806254275,4.930250787432306
112,New York,Jan 23,Onion,4159,195,1.5659838683670388,3.4359635395463557
113,New York,Jan 23,Apple (Gala),4134,204,9.55726439084392,5.788905570073985
114,New York,Jan 23,Eggplant,4081,361,6.89171839368064,4.79370099157095
115,New York,Jan 23,Strawberries,4323,267,3.6138772664126013,6.557918717293069
116,New York,Jan 23,Lychee,4309,148,8.39631344024092,5.23984454900492
117,New York,Jan 23,Onion,4159,284,9.532602576981299,3.615600470127538
118,New York,Jan 23,Cucumber,4062,247,5.997833183570766,2.7174812376266346
119,New York,Jan 23,Apple (Fuji),4131,207,9.562374733691104,2.208940546400845
120,New York,Jan 23,Pear,4412,382,9.71656858297065,3.568158523901366
121,New York,Jan 23,Blueberries,4240,231,10.06060006346088,3.9822615022072574
122,New York,Jan 23,Eggplant,4081,148,9.785872291587294,2.9129787330981345
123,New York,Jan 23,Apricot,3302,211,8.555167913087644,5.875414974545129
124,New York,Jan 23,Strawberries,4323,190,2.816874240105972,4.688867826852948
125,New York,Jan 23,Apple (Fuji),4131,290,4.29806858105585,1.56770560531877
126,New York,Jan 23,Strawberries,4323,219,5.191229504416697,4.715566182648764
127,New York,Jan 23,Lemon,4958,247,5.082880912697874,3.8898009730270138
128,New York,Jan 23,Orange,4012,367,2.906446772976779,3.1244230346288533
129,New York,Jan 23,Onion,4159,363,7.974103380995803,3.1805490193888546
130,New York,Jan 23,Banana,4011,131,2.8491128594148907,3.19640634059906
131,New York,Jan 23,Orange,4012,300,3.330514900037088,1.5891096284845845
132,New York,Jan 23,Eggplant,4081,126,5.080704488884658,1.1320857434999199
133,New York,Jan 23,Onion,4159,363,3.657650858862326,5.613204723014497
134,New York,Jan 23,Corn,4078,263,1.1438397466205061,3.7762172736926005
135,New York,Jan 23,Banana,4011,168,10.522787118074485,3.4512851592386142
136,New York,Jan 23,Lychee,4309,198,9.745398293994368,3.6616566414246337
137,New York,Jan 23,Lychee,4309,390,4.413020585291088,3.8504716410767292
138,New York,Jan 23,Onion,4159,467,7.414094792539254,5.120459661609494
139,New York,Jan 23,Orange,4012,162,1.759197847102769,5.949388689966873
140,New York,Jan 23,Banana,4011,387,5.7011027603875855,2.6078900872031228
141,New York,Jan 23,Banana,4011,351,6.360158062539996,5.993776156241075
142,New York,Jan 23,Banana,4011,336,7.754211608041079,2.8751657454064117
143,New York,Jan 23,Blueberries,4240,105,7.9906159345526255,3.8610718199284753
144,New York,Jan 23,Mushroom,4650,219,2.9778343103127556,4.582930667349138
145,New York,Jan 23,Cucumber,4062,357,8.994856503559276,2.9118000325048343
146,New York,Jan 23,Kiwi,4030,185,10.14622687115334,1.1495129098417238
147,New York,Jan 23,Strawberries,4323,242,3.815080684353598,6.275240553566255
148,New York,Jan 23,Apricot,3302,161,5.766567798331381,4.405466223857366
149,New York,Jan 23,Strawberries,4323,187,1.5828990564914422,4.070085626700894
150,New York,Jan 23,Peach,4404,162,5.052565814647824,5.435778039647267
151,New York,Jan 23,Eggplant,4081,210,6.7307977094082165,3.817086508520879
152,New York,Jan 23,Blueberries,4240,154,1.451742150168866,4.538698747893796
153,New York,Jan 23,Eggplant,4081,471,9.171331614628436,3.9325382410548633
154,New York,Jan 23,Tomato,4796,125,10.882278353441507,2.765185298305005
155,New York,Jan 23,Lemon,4958,264,9.646006071125157,4.230225390312262
156,New York,Jan 23,Tomato,4796,265,3.3265562344575303,6.109887396940031
157,New York,Jan 23,Onion,4159,485,7.972320673614741,4.07906304220669
158,New York,Jan 23,Blueberries,4240,438,7.671531756594778,6.11364797342103
159,New York,Jan 23,Corn,4078,310,8.848973538214342,4.591468567401171
0,New York,Jan 19,Grapes,4272,171,9.716122869821266,5.57346158430446
1,New York,Jan 19,Mushroom,4650,130,5.4873437694972385,4.811559445713647
2,New York,Jan 19,Corn,4078,409,1.1276248499518262,4.666061362158508
3,New York,Jan 19,Eggplant,4081,294,2.652853396208957,6.537092637759634
4,New York,Jan 19,Peach,4404,269,6.270575258485042,5.608787027909421
5,New York,Jan 19,Lemon,4958,262,8.970898014563137,1.623571165977046
6,New York,Jan 19,Corn,4078,472,1.2307861709734427,5.232729523233139
7,New York,Jan 19,Mushroom,4650,480,5.980021929135547,1.442148294323124
8,New York,Jan 19,Eggplant,4081,372,6.450968213169836,5.60066254020203
9,New York,Jan 19,Avocado,4225,466,1.107104909536429,1.3363970912992955
10,New York,Jan 19,Lemon,4958,210,8.574416614673101,5.274802185152658
11,New York,Jan 19,Lychee,4309,458,6.145625872304664,2.4393952515907587
12,New York,Jan 19,Apricot,3302,121,4.808987123635598,2.556660710973665
13,New York,Jan 19,Lemon,4958,491,7.8173005379969265,3.5821837446652354
14,New York,Jan 19,Pear,4412,213,9.835436688223854,5.029554294561968
15,New York,Jan 19,Apricot,3302,268,6.01342342121061,5.341542064934038
16,New York,Jan 19,Avocado,4225,161,4.637405570270494,5.1221541700884705
17,New York,Jan 19,Strawberries,4323,342,7.608919650688768,4.604232113133185
18,New York,Jan 19,Grapes,4272,496,1.4727318635676057,4.140393799194135
19,New York,Jan 19,Lemon,4958,304,2.0340845710830764,4.415544113866054
20,New York,Jan 19,Kiwi,4030,442,9.780343308090233,3.6608200498390944
21,New York,Jan 19,Orange,4012,265,6.85469278942328,2.397284650267102
22,New York,Jan 19,Lychee,4309,146,7.257963711721823,4.817624534619973
23,New York,Jan 19,Cucumber,4062,119,9.644013961590828,6.52680621740874
24,New York,Jan 19,Eggplant,4081,206,1.1097828465048225,4.617834989586846
25,New York,Jan 19,Avocado,4225,464,1.1800566472578795,1.721669906540774
26,New York,Jan 19,Pear,4412,132,10.266898168530316,5.09949127889704
27,New York,Jan 19,Onion,4159,197,2.178819554112852,2.312575959507376
28,New York,Jan 19,Strawberries,4323,487,1.1414267766987907,1.1264411369571463
29,New York,Jan 19,Corn,4078,304,10.64057926607784,4.361634863680229
30,New York,Jan 19,Kiwi,4030,260,2.1998891342664137,2.400003473996185
31,New York,Jan 19,Lemon,4958,438,3.912356614554301,1.1898278582608328
32,New York,Jan 19,Cucumber,4062,470,10.798027333524079,1.762414705962874
33,New York,Jan 19,Kiwi,4030,291,7.2478190687485045,1.5621936170151458
34,New York,Jan 19,Mushroom,4650,238,7.214582941355184,3.4220544471405447
35,New York,Jan 19,Apple (Gala),4134,104,9.665506137814374,5.836841732519679
36,New York,Jan 19,Mushroom,4650,459,9.970740225561896,3.042370989592746
37,New York,Jan 19,Kiwi,4030,349,7.616661449708045,4.235936801554636
38,New York,Jan 19,Grapes,4272,481,9.158246460254304,3.9576710454653954
39,New York,Jan 19,Peach,4404,205,3.294252906227485,5.9154592504724866
40,New York,Jan 19,Cucumber,4062,500,4.0941750855883585,2.299210698949173
41,New York,Jan 19,Onion,4159,364,5.109014924243093,5.462258838373237
42,New York,Jan 19,Pear,4412,249,2.968102183542215,6.210556819941849
43,New York,Jan 19,Corn,4078,159,2.505955681204796,5.621244859672152
44,New York,Jan 19,Cucumber,4062,266,7.252185271680355,6.352309914096259
45,New York,Jan 19,Apple (Fuji),4131,101,8.132448747940362,1.173933608015068
46,New York,Jan 19,Onion,4159,442,10.858971252525226,2.615924585517496
47,New York,Jan 19,Apple (Fuji),4131,261,9.99173957395833,2.8868506426457317
48,New York,Jan 19,Apple (Gala),4134,321,10.684083578782158,6.099283421202563
49,New York,Jan 19,Apricot,3302,242,8.603661538776942,4.202816724916921
50,New York,Jan 19,Orange,4012,478,8.93877325418871,3.704037205805071
51,New York,Jan 19,Avocado,4225,129,1.8843520207796247,4.9229301561368635
52,New York,Jan 19,Tomato,4796,469,4.790564238163643,3.787697725603357
53,New York,Jan 19,Lemon,4958,405,2.1584469968918714,1.7400584392249585
54,New York,Jan 19,Strawberries,4323,242,9.92942236813251,2.1762600594898687
55,New York,Jan 19,Tomato,4796,446,5.096844827267342,6.549947035987862
56,New York,Jan 19,Avocado,4225,179,7.526959913899192,6.49694267010782
57,New York,Jan 19,Peach,4404,387,7.134158181864769,6.152379757515155
58,New York,Jan 19,Banana,4011,130,4.739369579171762,5.2099755106261005
59,New York,Jan 19,Lychee,4309,280,10.633447071979754,4.865231359167956
60,New York,Jan 19,Corn,4078,462,3.7918950743041937,3.1609967790078373
61,New York,Jan 19,Eggplant,4081,419,1.7690194087801503,1.6057624311884866
62,New York,Jan 19,Cucumber,4062,319,6.481163184926846,1.6713800066150726
63,New York,Jan 19,Strawberries,4323,482,3.8615182268898938,3.758426726819016
64,New York,Jan 19,Grapes,4272,283,7.125779590173625,2.4509698214475066
65,New York,Jan 19,Lemon,4958,117,3.844671237492003,5.385559341893532
66,New York,Jan 19,Orange,4012,377,5.740895554423333,2.765774475084618
67,New York,Jan 19,Tomato,4796,380,4.788918301649392,5.4603691097814595
68,New York,Jan 19,Apple (Gala),4134,148,8.959017638280057,3.398321695998311
69,New York,Jan 19,Grapes,4272,269,7.906957596074791,6.553876317129471
70,New York,Jan 19,Blueberries,4240,369,7.938283887133003,2.458259643544443
71,New York,Jan 19,Orange,4012,325,8.139417780959048,1.2888273635413499
72,New York,Jan 19,Lychee,4309,415,5.675182687281631,1.308774389117025
73,New York,Jan 19,Onion,4159,247,1.5044301485177132,1.3678774152882398
74,New York,Jan 19,Apple (Gala),4134,328,3.3139360009925443,6.5888736611465
75,New York,Jan 19,Pear,4412,265,10.000075130863117,6.496485471283086
76,New York,Jan 19,Mushroom,4650,106,6.357297487044708,5.789549287548289
77,New York,Jan 19,Cucumber,4062,285,6.381629016413354,2.1685106246965007
78,New York,Jan 19,Tomato,4796,289,10.693384887464346,2.2199389474932105
79,New York,Jan 19,Mushroom,4650,321,3.7490385377081115,3.962085152417422
80,New York,Jan 19,Strawberries,4323,299,8.277723795641215,6.12128763915971
81,New York,Jan 19,Strawberries,4323,119,10.375696940533818,3.811907300283201
82,New York,Jan 19,Pear,4412,122,9.412916395883077,1.3067941268905998
83,New York,Jan 19,Corn,4078,347,5.658349205320701,2.6671487600775436
84,New York,Jan 19,Grapes,4272,325,8.946631772676483,5.8678051780676475
85,New York,Jan 19,Grapes,4272,193,9.463832661067137,1.2452234028838576
86,New York,Jan 19,Kiwi,4030,263,8.998676999122836,4.15332341673784
87,New York,Jan 19,Corn,4078,194,9.205112518160604,5.92767566817347
88,New York,Jan 19,Kiwi,4030,432,8.692632133234293,3.236363922036253
89,New York,Jan 19,Corn,4078,112,7.617488482873887,4.867014150042087
90,New York,Jan 19,Grapes,4272,144,1.8177734329598025,3.892626781854779
91,New York,Jan 19,Avocado,4225,417,9.713590734801256,5.51367431706749
92,New York,Jan 19,Apple (Gala),4134,348,8.58763285803143,4.462831375095994
93,New York,Jan 19,Apricot,3302,478,7.430550808482804,6.123937803925947
94,New York,Jan 19,Tomato,4796,363,10.449729176401162,3.6022003358462826
95,New York,Jan 19,Lemon,4958,330,6.838138565653936,4.69543452213984
96,New York,Jan 19,Avocado,4225,460,8.452622422855349,3.5066545981913806
97,New York,Jan 19,Blueberries,4240,173,9.904553030710668,5.80712330180686
98,New York,Jan 19,Lemon,4958,384,2.7671663050539794,6.096334022143856
99,New York,Jan 19,Avocado,4225,274,4.285064434423112,4.935411838488654
100,New York,Jan 19,Mushroom,4650,439,1.70799340098165,4.013950188783929
101,New York,Jan 19,Orange,4012,241,10.602748337364757,2.3629584880778567
102,New York,Jan 19,Avocado,4225,115,7.624201379390434,3.203794318274595
103,New York,Jan 19,Tomato,4796,362,5.61122290105559,4.192054610489868
104,New York,Jan 19,Grapes,4272,125,10.03026922440622,4.5704039525240665
105,New York,Jan 19,Onion,4159,288,4.848853364936076,4.808851984469221
106,New York,Jan 19,Banana,4011,224,8.24294503366109,1.629464799561538
107,New York,Jan 19,Apricot,3302,401,6.18128229037393,1.7188652360579
108,New York,Jan 19,Kiwi,4030,392,8.840538703952916,3.0865992927225308
109,New York,Jan 19,Peach,4404,364,9.452632946660742,1.6898531310958789
110,New York,Jan 19,Mushroom,4650,138,10.153733442537487,6.276414508372546
111,New York,Jan 19,Strawberries,4323,437,1.6669640771579,1.3187605212675408
112,New York,Jan 19,Lemon,4958,174,10.963672478985973,1.2309164852136747
113,New York,Jan 19,Apple (Fuji),4131,449,8.461751811369323,2.632056237803772
114,New York,Jan 19,Cucumber,4062,256,4.352030662633479,6.107126603857615
115,New York,Jan 19,Strawberries,4323,309,8.25671841269359,6.276271557225846
116,New York,Jan 19,Onion,4159,323,9.397746854973958,3.8343166414648295
