,city,date,product,prodcode,quantity,weight_lb,price_usd
0,Seattle,Jan 23,Orange,4012,214,3.7444213799666617,3.061076630745083
1,Seattle,Jan 23,Apple (Fuji),4131,479,2.760306626954116,2.4171159700723366
2,Seattle,Jan 23,Eggplant,4081,232,9.906916680047289,1.6220602154731751
3,Seattle,Jan 23,Mushroom,4650,245,8.202220081258567,6.21982326488942
4,Seattle,Jan 23,Apple (Gala),4134,211,8.508896576566622,4.556908545223997
5,Seattle,Jan 23,Pear,4412,153,1.6224915209459143,4.841461415193044
6,Seattle,Jan 23,Corn,4078,269,6.700754864583724,1.3872154242359103
7,Seattle,Jan 23,Mushroom,4650,372,7.352577860862948,3.4210065707098694
8,Seattle,Jan 23,Avocado,4225,409,6.350505968485959,1.749156668689102
9,Seattle,Jan 23,Eggplant,4081,208,1.4208170484285803,4.66351123796776
10,Seattle,Jan 23,Tomato,4796,310,3.659900584723801,4.973856023536064
11,Seattle,Jan 23,Cucumber,4062,411,3.5931420275941495,5.944207225367427
12,Seattle,Jan 23,Cucumber,4062,481,7.3013718842063104,4.997534187883139
13,Seattle,Jan 23,Banana,4011,328,9.685712719522417,2.3061881916597486
14,Seattle,Jan 23,Apple (Fuji),4131,476,5.16236204172019,1.713476756028831
15,Seattle,Jan 23,Mushroom,4650,157,7.656152320257388,3.4800583843840287
16,Seattle,Jan 23,Peach,4404,155,1.343036729306914,3.1064337537623943
17,Seattle,Jan 23,Eggplant,4081,267,4.512599397497252,6.598320316663012
18,Seattle,Jan 23,Apricot,3302,206,6.76817306408193,2.258671863609925
19,Seattle,Jan 23,Peach,4404,376,8.700479207281024,1.2114940983243287
20,Seattle,Jan 23,Orange,4012,460,2.6453925887588414,2.6668948399834336
21,Seattle,Jan 23,Grapes,4272,261,6.649487915448845,1.5442961682798342
22,Seattle,Jan 23,Orange,4012,170,1.4467798889381813,2.097603964409791
23,Seattle,Jan 23,Mushroom,4650,132,2.452828013477847,4.128503114590422
24,Seattle,Jan 23,Banana,4011,100,7.264669338194654,3.0324847341049463
25,Seattle,Jan 23,Eggplant,4081,407,1.6999242678983137,4.35425183668267
26,Seattle,Jan 23,Apple (Gala),4134,495,6.794107562024147,1.938717112899758
27,Seattle,Jan 23,Corn,4078,264,10.292580141942018,3.4952942546457053
28,Seattle,Jan 23,Tomato,4796,136,4.307226012484171,3.586906760605052
29,Seattle,Jan 23,Eggplant,4081,449,2.7017480613896625,4.661532808234916
30,Seattle,Jan 23,Apple (Gala),4134,426,9.424348756298423,1.3441321081714706
31,Seattle,Jan 23,Kiwi,4030,139,5.754362701880746,3.354657462821342
32,Seattle,Jan 23,Tomato,4796,194,9.536222606967204,3.083909768401645
33,Seattle,Jan 23,Blueberries,4240,476,9.31569198295474,3.861926484177821
34,Seattle,Jan 23,Apple (Fuji),4131,467,3.8373887604800987,6.536917301034555
35,Seattle,Jan 23,Kiwi,4030,125,1.8759925031568856,5.562639610981569
36,Seattle,Jan 23,Onion,4159,199,6.484187087463216,2.913982857624069
37,Seattle,Jan 23,Corn,4078,135,3.351694321469404,4.826298507885077
38,Seattle,Jan 23,Peach,4404,408,7.6856670611770825,5.249562901468017
39,Seattle,Jan 23,Onion,4159,333,6.215906701073982,2.4677710125921295
40,Seattle,Jan 23,Apricot,3302,323,3.866426979308017,5.207533513801173
41,Seattle,Jan 23,Kiwi,4030,201,9.408340961369687,2.8054913147585467
42,Seattle,Jan 23,Pear,4412,194,3.897542641940527,1.1035690047079698
43,Seattle,Jan 23,Peach,4404,202,6.7715925017138945,2.6563544867327438
44,Seattle,Jan 23,Apple (Fuji),4131,428,5.112084397091531,5.984326191735454
45,Seattle,Jan 23,Tomato,4796,377,6.23790735853836,5.552640880597756
46,Seattle,Jan 23,Lemon,4958,409,5.672214912064374,2.6731258124578745
47,Seattle,Jan 23,Tomato,4796,266,1.309239858877845,6.296044640615583
48,Seattle,Jan 23,Apple (Gala),4134,111,1.1144623159430922,4.03700845038984
49,Seattle,Jan 23,Lychee,4309,188,1.7825145415263253,5.349220125959255
50,Seattle,Jan 23,Lemon,4958,203,9.579674738552422,3.5000463522970677
51,Seattle,Jan 23,Onion,4159,427,2.0252842661459,3.402091162186116
52,Seattle,Jan 23,Peach,4404,151,8.710872636036948,3.8721589913126087
53,Seattle,Jan 23,Apricot,3302,271,1.7910102284047753,6.386331304814667
54,Seattle,Jan 23,Peach,4404,235,9.625296249799431,6.445759857911617
55,Seattle,Jan 23,Apricot,3302,411,6.924123908206821,2.4295187489129604
56,Seattle,Jan 23,Apricot,3302,500,4.4483988976804545,4.945966059016064
57,Seattle,Jan 23,Blueberries,4240,489,5.711030016606674,2.461485968111083
58,Seattle,Jan 23,Eggplant,4081,170,10.489806599332951,2.7619751217076556
59,Seattle,Jan 23,Pear,4412,394,2.59881288621109,1.3070688446983696
60,Seattle,Jan 23,Lemon,4958,329,3.2460806307615715,1.6916351677151398
61,Seattle,Jan 23,Pear,4412,366,5.956035948125646,4.923284079669975
62,Seattle,Jan 23,Apple (Fuji),4131,436,9.237917636148632,2.11235109672416
63,Seattle,Jan 23,Mushroom,4650,383,9.332073528203182,1.6550537335220725
64,Seattle,Jan 23,Pear,4412,250,3.9265668300911787,5.652357511944138
65,Seattle,Jan 23,Pear,4412,353,7.676023919833825,1.101973532838747
66,Seattle,Jan 23,Eggplant,4081,451,3.8410496055148546,2.8717793830670417
67,Seattle,Jan 23,Pear,4412,220,9.33941881710198,2.634475900232792
68,Seattle,Jan 23,Pear,4412,143,1.2517682593548671,2.5966998415766285
69,Seattle,Jan 23,Eggplant,4081,180,2.2523360571358353,3.1363179220585153
70,Seattle,Jan 23,Peach,4404,135,6.293657912360505,2.1091069978661836
71,Seattle,Jan 23,Onion,4159,235,6.727638785517775,6.18461505221203
72,Seattle,Jan 23,Grapes,4272,489,5.126283677597531,1.531322624674067
73,Seattle,Jan 23,Corn,4078,401,7.420146460831166,4.046927165728994
74,Seattle,Jan 23,Kiwi,4030,340,6.347697548754514,3.1675224154256285
75,Seattle,Jan 23,Apricot,3302,291,6.684331427840516,5.508251326996834
76,Seattle,Jan 23,Blueberries,4240,268,3.8655791917117317,2.7137663582339884
77,Seattle,Jan 23,Onion,4159,168,2.5291194165823985,5.724056708416902
78,Seattle,Jan 23,Avocado,4225,119,1.2958870221395047,2.9497749442467467
79,Seattle,Jan 23,Avocado,4225,232,10.972348580043764,4.358667549467646
80,Seattle,Jan 23,Apple (Fuji),4131,158,5.263063427968882,1.4411262879380957
81,Seattle,Jan 23,Lemon,4958,121,2.197548484453,4.912255526310765
82,Seattle,Jan 23,Pear,4412,387,3.9655905646039176,5.300638641486876
83,Seattle,Jan 23,Eggplant,4081,380,8.393246152554639,5.5916149610653525
84,Seattle,Jan 23,Mushroom,4650,447,1.4662623752141373,2.423756182799116
85,Seattle,Jan 23,Mushroom,4650,180,10.8247255156748,1.7285414757439868
86,Seattle,Jan 23,Banana,4011,137,9.948519890150056,1.8491871789097787
87,Seattle,Jan 23,Apricot,3302,291,6.225558661436662,6.335659132129513
88,Seattle,Jan 23,Lychee,4309,344,3.3040789488703015,3.84077837751247
89,Seattle,Jan 23,Grapes,4272,227,6.143936006654986,5.5945188461570075
90,Seattle,Jan 23,Cucumber,4062,407,8.249877218576149,5.424084624066018
91,Seattle,Jan 23,Peach,4404,314,8.4069416356273,4.021801870572381
92,Seattle,Jan 23,Lychee,4309,128,6.824441637331621,5.56857545466628
93,Seattle,Jan 23,Avocado,4225,338,1.1272759546991438,1.5902061421889813
94,Seattle,Jan 23,Tomato,4796,202,1.3788443799596282,1.2131702127167956
95,Seattle,Jan 23,Onion,4159,116,4.316397389303893,4.581069918023423
96,Seattle,Jan 23,Apple (Fuji),4131,395,7.270226108748466,1.6256200935691596
97,Seattle,Jan 23,Avocado,4225,231,8.88998598465696,2.5644854726502673
98,Seattle,Jan 23,Kiwi,4030,252,6.907121140719392,3.5464911543764175
99,Seattle,Jan 23,Apricot,3302,181,4.824250852409751,6.069044705736451
100,Seattle,Jan 23,Onion,4159,144,5.018942828266882,1.8650935330893845
101,Seattle,Jan 23,Avocado,4225,172,6.803574641072192,4.350421985285357
102,Seattle,Jan 23,Lychee,4309,162,8.107712184474805,2.027396205137484
103,Seattle,Jan 23,Grapes,4272,215,4.63081292451825,4.032040121057071
104,Seattle,Jan 23,Orange,4012,200,8.96560312001966,1.4426116027403624
105,Seattle,Jan 23,Grapes,4272,164,9.911602495214902,1.1331671426538379
106,Seattle,Jan 23,Lemon,4958,215,5.741986243077554,2.51209168441128
107,Seattle,Jan 23,Corn,4078,159,2.299518578615971,5.291369771142491
108,Seattle,Jan 23,Strawberries,4323,153,10.411709265736864,6.571463710768149
109,Seattle,Jan 23,Strawberries,4323,297,1.680809386749752,4.7006466051330795
110,Seattle,Jan 23,Grapes,4272,354,9.168762758281083,5.043218261818402
111,Seattle,Jan 23,Lemon,4958,170,2.3879720964003357,2.380110839288682
112,Seattle,Jan 23,Kiwi,4030,159,6.28703157408163,3.3886649670545013
113,Seattle,Jan 23,Banana,4011,215,3.55367376471404,4.982304751197808
114,Seattle,Jan 23,Apple (Fuji),4131,123,10.086659899353982,4.392325056390837
115,Seattle,Jan 23,Orange,4012,310,8.866299412352966,2.5922359999036417
116,Seattle,Jan 23,Tomato,4796,145,9.879101642617025,5.534309128322639
117,Seattle,Jan 23,Apple (Fuji),4131,264,4.483648034255021,2.992994684400037
118,Seattle,Jan 23,Strawberries,4323,492,4.787532772845589,3.881363839632832
119,Seattle,Jan 23,Apple (Fuji),4131,446,6.896509011345916,4.553982408973389
120,Seattle,Jan 23,Grapes,4272,204,3.86943901788909,3.332056903303601
121,Seattle,Jan 23,Pear,4412,161,3.460517305438407,2.055110630602576
122,Seattle,Jan 23,Tomato,4796,352,10.704554924694822,2.9126668583136053
123,Seattle,Jan 23,Peach,4404,476,2.340078106406145,2.5415357776451857
124,Seattle,Jan 23,Lemon,4958,445,4.654263250366785,2.1885329412994907
125,Seattle,Jan 23,Onion,4159,176,7.437717928295024,3.4815228745806963
126,Seattle,Jan 23,Avocado,4225,322,6.791864682082087,5.128084806981497
127,Seattle,Jan 23,Apricot,3302,361,3.6542199952295054,2.333275284525007
128,Seattle,Jan 23,Grapes,4272,444,5.640471573127434,5.023199206823484
129,Seattle,Jan 23,Banana,4011,360,5.340755453170278,1.814482291135937
130,Seattle,Jan 23,Mushroom,4650,433,10.773794590542094,1.3929809266934172
131,Seattle,Jan 23,Corn,4078,112,2.6866452232468876,3.561858903989196
132,Seattle,Jan 23,Strawberries,4323,252,6.782735238247551,3.7968472226290033
133,Seattle,Jan 23,Avocado,4225,385,5.400634179380723,1.3998699897434563
134,Seattle,Jan 23,Peach,4404,439,4.053483332437463,6.08603873513639
135,Seattle,Jan 23,Blueberries,4240,384,6.0155709238955755,5.893355388916098
136,Seattle,Jan 23,Orange,4012,383,6.09184331286233,3.925284069986083
137,Seattle,Jan 23,Strawberries,4323,487,6.992863593739458,4.692504432774149
138,Seattle,Jan 23,Lychee,4309,170,1.5492996389744804,1.9246586626628415
139,Seattle,Jan 23,Apple (Fuji),4131,275,7.907922571059317,3.892154111200944
140,Seattle,Jan 23,Avocado,4225,324,2.74771171186585,5.602917179604993
141,Seattle,Jan 23,Strawberries,4323,454,6.12482681660913,3.6083346215542407
142,Seattle,Jan 23,Banana,4011,350,8.23277362245135,1.4874978543026374
143,Seattle,Jan 23,Mushroom,4650,390,6.805521848751233,3.498874756298028
144,Seattle,Jan 23,Lemon,4958,387,2.17369128970895,5.2172567913308745
145,Seattle,Jan 23,Kiwi,4030,438,5.64625326555688,6.267759723146447
146,Seattle,Jan 23,Apple (Gala),4134,432,7.275191050721333,1.987378867249936
147,Seattle,Jan 23,Peach,4404,494,1.2119113925844431,1.3813453940907494
148,Seattle,Jan 23,Mushroom,4650,446,1.72979520407971,3.3022808662150056
149,Seattle,Jan 23,Banana,4011,345,2.207103509362787,5.6760838397545745
150,Seattle,Jan 23,Lemon,4958,116,6.141554129193538,4.897722697141581
151,Seattle,Jan 23,Orange,4012,194,7.659973064763472,4.055235123052262
152,Seattle,Jan 23,Apple (Fuji),4131,411,5.101470276177861,5.463577362964862
153,Seattle,Jan 23,Kiwi,4030,205,2.8492163457442077,5.538006759737619
154,Seattle,Jan 23,Eggplant,4081,121,8.301334977545777,2.9440943678142504
155,Seattle,Jan 23,Orange,4012,237,7.6444091942859815,2.735921708890237
156,Seattle,Jan 23,Pear,4412,385,10.581732397410088,4.700212231162005
157,Seattle,Jan 23,Kiwi,4030,227,7.110402281372808,1.1512104443041609
158,Seattle,Jan 23,Apple (Gala),4134,361,3.737733665830456,2.911794286593795
159,Seattle,Jan 23,Eggplant,4081,467,10.200884357537143,5.569293872825802
160,Seattle,Jan 23,Apple (Gala),4134,387,8.93562051006593,5.481808079662733
161,Seattle,Jan 23,Kiwi,4030,107,5.81999898001086,3.123163852863945
162,Seattle,Jan 23,Apricot,3302,408,1.319707606197335,3.405231684818864
163,Seattle,Jan 23,Banana,4011,131,7.977641451265663,3.44732351556886
164,Seattle,Jan 23,Apple (Fuji),4131,483,2.715119886910543,6.330358715518378
165,Seattle,Jan 23,Peach,4404,407,10.673039259831421,4.309688553470187
166,Seattle,Jan 23,Avocado,4225,237,5.596943394211121,3.7406964627094568
167,Seattle,Jan 23,Apple (Gala),4134,462,10.928868767432869,5.369622482010164
168,Seattle,Jan 23,Eggplant,4081,302,3.177018357207999,4.060066892555915
169,Seattle,Jan 23,Kiwi,4030,218,2.32665952348616,4.357374386535958
170,Seattle,Jan 23,Banana,4011,127,7.7644829581491654,3.3272896718932317
171,Seattle,Jan 23,Apricot,3302,292,4.548786040092819,5.685219093016349
172,Seattle,Jan 23,Apple (Fuji),4131,165,5.061409126711078,4.061869542486966
0,Seattle,Jan 19,Blueberries,4240,232,10.197555959108286,6.225569802126848
1,Seattle,Jan 19,Lychee,4309,489,6.509631472895854,3.124468204122968
2,Seattle,Jan 19,Avocado,4225,303,5.462320182216354,1.32906349808909
3,Seattle,Jan 19,Apricot,3302,185,8.508298436831684,4.907276953710244
4,Seattle,Jan 19,Apple (Gala),4134,362,7.426052055181936,3.229772650077939
5,Seattle,Jan 19,Eggplant,4081,236,3.183817710541189,4.564501238428057
6,Seattle,Jan 19,Eggplant,4081,321,7.900991688482464,3.3369681807467715
7,Seattle,Jan 19,Tomato,4796,156,4.338616108894349,5.592458594497294
8,Seattle,Jan 19,Mushroom,4650,106,6.106106426380575,6.281838985183277
9,Seattle,Jan 19,Peach,4404,394,7.526862114062533,1.1732903118478135
10,Seattle,Jan 19,Eggplant,4081,358,2.1690511877648535,2.677824866399169
11,Seattle,Jan 19,Corn,4078,406,8.211174205015414,2.833033985248767
12,Seattle,Jan 19,Avocado,4225,475,7.327213876950555,5.666237165359781
13,Seattle,Jan 19,Pear,4412,480,10.842385180247948,4.445421326113865
14,Seattle,Jan 19,Tomato,4796,100,5.826607463578694,2.9396954983472825
15,Seattle,Jan 19,Strawberries,4323,345,4.963984303525649,3.921359188877978
16,Seattle,Jan 19,Lemon,4958,389,3.630265542329289,5.544408387178556
17,Seattle,Jan 19,Mushroom,4650,226,4.558317042049021,2.6000923404004426
18,Seattle,Jan 19,Apricot,3302,207,2.6241811182815584,4.543407529033721
19,Seattle,Jan 19,Orange,4012,388,9.243938555428759,2.600294357771054
20,Seattle,Jan 19,Pear,4412,243,9.969644267624245,5.344639475946315
21,Seattle,Jan 19,Kiwi,4030,487,6.015466102957726,6.552390094404109
22,Seattle,Jan 19,Onion,4159,437,3.639895489718765,2.524946884275414
23,Seattle,Jan 19,Apple (Fuji),4131,384,7.749242090596818,5.314351744158194
24,Seattle,Jan 19,Orange,4012,318,7.467779314727523,2.7931741969892756
25,Seattle,Jan 19,Orange,4012,258,4.495486145629548,1.7224812709260733
26,Seattle,Jan 19,Strawberries,4323,264,4.482139504794032,4.740023581916467
27,Seattle,Jan 19,Banana,4011,224,1.2407199619337916,3.8432229777332396
28,Seattle,Jan 19,Pear,4412,340,1.9380475517595188,5.059132328862325
