,city,date,product,prodcode,quantity,weight_lb,price_usd
0,San Francisco,Jan 23,Lemon,4958,197,5.6817251365398995,3.8935241543455055
1,San Francisco,Jan 23,Cucumber,4062,313,8.908821768965574,3.820807160716504
2,San Francisco,Jan 23,Eggplant,4081,243,8.071928810328245,6.202256781654433
3,San Francisco,Jan 23,Grapes,4272,136,2.686400040215813,4.590112601546571
4,San Francisco,Jan 23,Apple (Gala),4134,179,7.3876945277443165,3.578752969647758
5,San Francisco,Jan 23,Lychee,4309,112,4.382290958752856,1.9289663249161095
6,San Francisco,Jan 23,Tomato,4796,326,5.960808174009435,5.516657952126116
7,San Francisco,Jan 23,Onion,4159,345,5.042591671948322,2.4793836435070262
8,San Francisco,Jan 23,Blueberries,4240,277,1.6408891594968738,6.37728531358298
9,San Francisco,Jan 23,Eggplant,4081,217,10.603610985446721,5.7256514324340975
10,San Francisco,Jan 23,Blueberries,4240,447,4.933348901732825,2.4998631755821408
11,San Francisco,Jan 23,Banana,4011,415,1.2101970821619035,2.733978821337223
12,San Francisco,Jan 23,Peach,4404,458,4.910074292425998,3.4115800610976295
13,San Francisco,Jan 23,Grapes,4272,391,10.368092615413481,2.4194371798308567
14,San Francisco,Jan 23,Lemon,4958,284,10.232641683355906,2.30149550086353
15,San Francisco,Jan 23,Mushroom,4650,459,7.888368624448777,1.868884944380261
16,San Francisco,Jan 23,Grapes,4272,150,10.132187393307687,4.288260590075516
17,San Francisco,Jan 23,Grapes,4272,352,1.3513016349403189,3.4439436674816535
18,San Francisco,Jan 23,Orange,4012,370,3.8096950871404265,3.688786428445019
19,San Francisco,Jan 23,Eggplant,4081,138,4.887364317034372,1.6821336987428368
20,San Francisco,Jan 23,Strawberries,4323,142,7.5743970206007365,5.821834681928158
21,San Francisco,Jan 23,Grapes,4272,489,3.9221710237441587,5.423261089157314
22,San Francisco,Jan 23,Strawberries,4323,472,5.682421786058694,4.039327447325923
23,San Francisco,Jan 23,Cucumber,4062,278,5.069432306848467,3.639774799719453
24,San Francisco,Jan 23,Orange,4012,212,1.793877380131744,1.2421509424690158
25,San Francisco,Jan 23,Kiwi,4030,311,8.692344821291044,3.7243974938988686
26,San Francisco,Jan 23,Banana,4011,130,2.9908227205509323,1.1781053379178048
27,San Francisco,Jan 23,Lychee,4309,316,4.667155082430691,3.257494212151505
28,San Francisco,Jan 23,Lemon,4958,186,7.203143142629416,2.533160572545603
29,San Francisco,Jan 23,Pear,4412,194,6.529703514999711,5.900193001283333
30,San Francisco,Jan 23,Peach,4404,106,10.023571391217411,2.540255819936283
31,San Francisco,Jan 23,Lemon,4958,460,3.310100004146807,2.646631775214337
32,San Francisco,Jan 23,Mushroom,4650,366,8.531550067360513,3.448333544796333
33,San Francisco,Jan 23,Eggplant,4081,365,3.437151636183262,3.825231743999757
34,San Francisco,Jan 23,Tomato,4796,154,8.249776154826396,5.348025710228831
35,San Francisco,Jan 23,Strawberries,4323,125,4.997288751811721,4.35738871737849
36,San Francisco,Jan 23,Onion,4159,472,6.176650170725771,3.094321352802217
37,San Francisco,Jan 23,Mushroom,4650,339,3.658038727450185,6.032706785737537
38,San Francisco,Jan 23,Apple (Gala),4134,393,6.720853243884631,5.9492428370518615
39,San Francisco,Jan 23,Pear,4412,447,1.7485001068562271,5.320841257018038
40,San Francisco,Jan 23,Blueberries,4240,298,9.615116397594102,6.33581217287574
41,San Francisco,Jan 23,Lemon,4958,325,6.091204037680291,1.645443135779351
42,San Francisco,Jan 23,Lemon,4958,341,9.204001307883301,1.4894209378631786
43,San Francisco,Jan 23,Apricot,3302,166,5.095821304689162,1.850836196471937
44,San Francisco,Jan 23,Apricot,3302,359,2.365035693952814,5.91793486350216
45,San Francisco,Jan 23,Orange,4012,424,7.6047171436017384,6.106475543603302
46,San Francisco,Jan 23,Grapes,4272,234,2.272665948374197,1.3304355427622796
47,San Francisco,Jan 23,Corn,4078,445,8.306156194396317,4.851879180897959
48,San Francisco,Jan 23,Kiwi,4030,352,10.145881972811186,4.779766146931798
49,San Francisco,Jan 23,Onion,4159,441,9.357747871987522,4.938902939809487
50,San Francisco,Jan 23,Banana,4011,359,10.165134848793969,6.091947718895972
51,San Francisco,Jan 23,Avocado,4225,495,4.172972975717858,6.113170446851291
52,San Francisco,Jan 23,Apple (Fuji),4131,468,5.679255707375706,2.138407296058722
53,San Francisco,Jan 23,Grapes,4272,111,8.797268579318189,1.9089564861729742
54,San Francisco,Jan 23,Apple (Gala),4134,377,2.9586672042496507,1.8200629332801328
55,San Francisco,Jan 23,Peach,4404,218,1.412465402460657,6.375297650950961
56,San Francisco,Jan 23,Lychee,4309,480,1.9520628406899052,2.0238213469507174
57,San Francisco,Jan 23,Mushroom,4650,267,7.47419627851341,1.1479930901201443
58,San Francisco,Jan 23,Tomato,4796,199,5.731034410884605,3.440118815423921
59,San Francisco,Jan 23,Lemon,4958,376,4.331875748024323,5.295492470636964
60,San Francisco,Jan 23,Grapes,4272,177,7.075451774406248,2.0291529044276104
61,San Francisco,Jan 23,Tomato,4796,228,1.836604021745734,5.8240293395007035
62,San Francisco,Jan 23,Onion,4159,302,8.25937886836473,5.2035138040315365
63,San Francisco,Jan 23,Apple (Gala),4134,309,2.693846648721956,1.2143909466918559
64,San Francisco,Jan 23,Pear,4412,323,8.338615934597328,6.5069726348388945
65,San Francisco,Jan 23,Cucumber,4062,310,3.095285420888104,2.727992224879563
66,San Francisco,Jan 23,Corn,4078,459,7.908401153841988,4.258486802945845
67,San Francisco,Jan 23,Cucumber,4062,152,8.59629033219535,5.64164905846119
68,San Francisco,Jan 23,Mushroom,4650,497,5.260281575936824,4.783224752545357
69,San Francisco,Jan 23,Banana,4011,112,5.0808883168036125,4.305620595719666
70,San Francisco,Jan 23,Avocado,4225,141,2.619489727262408,2.0352916311472655
71,San Francisco,Jan 23,Apricot,3302,474,9.084712183196098,4.814132558670827
72,San Francisco,Jan 23,Lemon,4958,406,1.3644867282127962,2.371057520643808
73,San Francisco,Jan 23,Banana,4011,285,6.164453098061495,1.302141854679212
74,San Francisco,Jan 23,Pear,4412,342,1.5702308462699877,5.59648451502435
75,San Francisco,Jan 23,Orange,4012,311,5.255526372650639,3.3928767224075274
76,San Francisco,Jan 23,Peach,4404,221,3.2428332193288956,4.690910402825103
77,San Francisco,Jan 23,Blueberries,4240,289,6.48831810655538,1.2547243545064704
78,San Francisco,Jan 23,Eggplant,4081,414,4.8644250655779615,3.498217152338475
79,San Francisco,Jan 23,Orange,4012,266,7.872790495096707,1.7249987662304194
80,San Francisco,Jan 23,Orange,4012,208,6.085314398701303,6.339413159782999
81,San Francisco,Jan 23,Banana,4011,431,7.588289029966109,6.055895382328891
82,San Francisco,Jan 23,Banana,4011,325,2.267826699325815,4.9825582051649695
83,San Francisco,Jan 23,Grapes,4272,330,10.46049215111416,4.100450464081951
84,San Francisco,Jan 23,Lychee,4309,500,9.294370320835151,5.069014244503342
85,San Francisco,Jan 23,Apricot,3302,184,6.15540580295492,4.836586692859419
86,San Francisco,Jan 23,Cucumber,4062,130,8.984887821460143,2.6379942815052346
87,San Francisco,Jan 23,Avocado,4225,290,3.6392271182267,2.223886387096718
88,San Francisco,Jan 23,Avocado,4225,370,6.737500357790851,3.2760231361258776
89,San Francisco,Jan 23,Banana,4011,340,2.1627969471039252,3.0950197774451227
90,San Francisco,Jan 23,Tomato,4796,383,5.847212500846945,1.233782534627244
91,San Francisco,Jan 23,Eggplant,4081,245,8.315927780861967,5.389618237060495
92,San Francisco,Jan 23,Tomato,4796,418,5.10065321684815,3.7353792258305476
93,San Francisco,Jan 23,Cucumber,4062,162,2.120000207424164,4.064379545184784
94,San Francisco,Jan 23,Blueberries,4240,175,7.831328034331092,3.6913920934544877
95,San Francisco,Jan 23,Apple (Fuji),4131,449,10.14831188004464,5.05570691942703
96,San Francisco,Jan 23,Lemon,4958,462,1.1723427344113588,3.8072414373978973
97,San Francisco,Jan 23,Pear,4412,398,5.052700370387175,3.5240142286289484
98,San Francisco,Jan 23,Apple (Gala),4134,394,1.3445237160194665,4.006682834262029
99,San Francisco,Jan 23,Corn,4078,424,8.158923536445947,4.8453741949284455
100,San Francisco,Jan 23,Corn,4078,500,8.048292162525469,5.40093947716523
101,San Francisco,Jan 23,Peach,4404,225,4.777945632045157,1.2555455434136094
102,San Francisco,Jan 23,Eggplant,4081,120,1.163300238363445,2.4178917346522213
103,San Francisco,Jan 23,Lemon,4958,351,10.84499934874475,3.291594224656001
104,San Francisco,Jan 23,Eggplant,4081,311,9.795415106788278,1.4734048581682146
105,San Francisco,Jan 23,Strawberries,4323,202,3.374850846733898,5.093132540257648
106,San Francisco,Jan 23,Cucumber,4062,461,9.63208405727055,2.1925150766270236
107,San Francisco,Jan 23,Grapes,4272,154,2.490495080384426,3.673258511722088
108,San Francisco,Jan 23,Lemon,4958,266,1.2123906737891958,4.284589381911792
109,San Francisco,Jan 23,Mushroom,4650,278,10.443737918161787,5.211327752587386
110,San Francisco,Jan 23,Mushroom,4650,168,8.8675892803818,5.271001756098122
111,San Francisco,Jan 23,Tomato,4796,194,3.317785408464261,1.8451919484883548
112,San Francisco,Jan 23,Grapes,4272,100,8.657956262887456,4.876267700945028
113,San Francisco,Jan 23,Corn,4078,326,5.07624768470414,6.392446959530935
114,San Francisco,Jan 23,Banana,4011,171,4.728823149879464,4.201391098694876
115,San Francisco,Jan 23,Onion,4159,173,4.744982235017233,4.32444677038584
116,San Francisco,Jan 23,Kiwi,4030,456,10.03233878503088,3.3056685667485
117,San Francisco,Jan 23,Cucumber,4062,382,2.854255133750849,1.3579306222032757
118,San Francisco,Jan 23,Kiwi,4030,341,5.270550247607753,4.891103530558758
119,San Francisco,Jan 23,Corn,4078,280,2.4495273790555077,3.7474856939166785
120,San Francisco,Jan 23,Kiwi,4030,227,10.204859437188134,3.9040627980371942
121,San Francisco,Jan 23,Peach,4404,313,7.437834825250321,2.7143849740037695
122,San Francisco,Jan 23,Eggplant,4081,264,3.1306031757034365,6.12128652506508
123,San Francisco,Jan 23,Blueberries,4240,214,10.345915526850149,3.2797263047192247
124,San Francisco,Jan 23,Grapes,4272,390,9.672744222381153,1.9531131914351136
125,San Francisco,Jan 23,Eggplant,4081,433,6.471178238582798,3.87395222010091
126,San Francisco,Jan 23,Apple (Gala),4134,408,1.4834924802416938,5.391698956047185
127,San Francisco,Jan 23,Pear,4412,220,4.667676741490141,5.726552140805871
128,San Francisco,Jan 23,Onion,4159,338,10.753119759471156,3.5819565884536133
129,San Francisco,Jan 23,Apple (Fuji),4131,379,7.649614868289792,4.891615142021329
130,San Francisco,Jan 23,Eggplant,4081,397,5.185623060609214,2.242224937910214
131,San Francisco,Jan 23,Kiwi,4030,348,10.113448931695894,3.5941344213439153
132,San Francisco,Jan 23,Apricot,3302,258,2.6609887526137754,1.6192769714631141
133,San Francisco,Jan 23,Tomato,4796,394,10.909010322624818,2.4205551200080664
134,San Francisco,Jan 23,Onion,4159,495,4.414739911444485,3.9036272741155704
135,San Francisco,Jan 23,Strawberries,4323,429,7.860038165352308,4.528371677175165
136,San Francisco,Jan 23,Apple (Fuji),4131,188,6.077784159337171,3.583968841843307
137,San Francisco,Jan 23,Cucumber,4062,298,5.467419299599715,2.0203112547984348
138,San Francisco,Jan 23,Peach,4404,194,6.711147682508455,2.980515245604329
139,San Francisco,Jan 23,Banana,4011,431,6.5431758856400855,4.786477888375521
140,San Francisco,Jan 23,Banana,4011,428,7.0952914240537215,5.332232624897734
141,San Francisco,Jan 23,Kiwi,4030,355,7.058519413857721,2.5385577962966637
142,San Francisco,Jan 23,Orange,4012,191,4.128790091793054,5.017769591091201
143,San Francisco,Jan 23,Avocado,4225,317,3.172888216329739,4.260339450114407
144,San Francisco,Jan 23,Blueberries,4240,381,6.536812456022017,4.854250482656062
145,San Francisco,Jan 23,Corn,4078,148,9.634262060024776,2.6071603372925893
146,San Francisco,Jan 23,Strawberries,4323,312,7.640561377280393,3.9878492246149113
147,San Francisco,Jan 23,Banana,4011,475,3.797192130959593,5.482185250637122
148,San Francisco,Jan 23,Eggplant,4081,397,3.681683097081259,5.3359861761797225
149,San Francisco,Jan 23,Lemon,4958,326,7.897478678426706,5.621766497986392
150,San Francisco,Jan 23,Peach,4404,361,7.146813629171811,5.6333358059870084
151,San Francisco,Jan 23,Banana,4011,188,3.53981371910777,1.226380197936669
0,San Francisco,Jan 19,Cucumber,4062,230,1.3284132783999667,2.590506388479844
1,San Francisco,Jan 19,Onion,4159,440,7.260877392650582,1.401399504649453
2,San Francisco,Jan 19,Corn,4078,230,10.221614453848453,4.591920104832389
3,San Francisco,Jan 19,Corn,4078,147,5.9263005427084865,5.410967642697506
4,San Francisco,Jan 19,Orange,4012,404,3.6905977772781626,4.2152552918065345
5,San Francisco,Jan 19,Strawberries,4323,271,10.324332541925834,2.3708103990880773
6,San Francisco,Jan 19,Onion,4159,358,6.578842517267913,3.320902756904252
7,San Francisco,Jan 19,Orange,4012,395,1.7664894197368997,1.621201993804425
8,San Francisco,Jan 19,Onion,4159,215,2.993036375101656,5.675341446790845
9,San Francisco,Jan 19,Banana,4011,255,3.3512904928997163,3.1738131942925976
10,San Francisco,Jan 19,Pear,4412,146,7.29772737256717,2.9420902473153547
11,San Francisco,Jan 19,Strawberries,4323,401,10.920755453966558,4.702443236391992
12,San Francisco,Jan 19,Blueberries,4240,401,5.874484161287547,2.5086817506467924
13,San Francisco,Jan 19,Banana,4011,144,9.719122136267835,2.1167257762514056
14,San Francisco,Jan 19,Tomato,4796,481,5.246785380574875,6.250212990120054
15,San Francisco,Jan 19,Pear,4412,201,9.474154007132165,5.407401556405239
16,San Francisco,Jan 19,Onion,4159,212,10.314617458498105,3.4036506552016363
17,San Francisco,Jan 19,Peach,4404,166,9.210616183280946,6.546511539514177
18,San Francisco,Jan 19,Grapes,4272,464,6.4359602382639425,4.125763899087906
19,San Francisco,Jan 19,Apricot,3302,224,8.031910329149106,6.420200178539381
20,San Francisco,Jan 19,Apricot,3302,154,8.235841889772566,6.553741355449893
21,San Francisco,Jan 19,Orange,4012,404,5.187223018822261,2.677025613631122
22,San Francisco,Jan 19,Apricot,3302,223,5.384337687189691,2.0557417063042522
23,San Francisco,Jan 19,Orange,4012,480,5.033613714249805,3.0337506683077664
24,San Francisco,Jan 19,Onion,4159,425,2.4551214471925054,1.3235707285581157
25,San Francisco,Jan 19,Eggplant,4081,497,4.814295147592202,1.770954280998558
26,San Francisco,Jan 19,Onion,4159,481,3.6774623042438184,2.060963385878131
27,San Francisco,Jan 19,Apricot,3302,355,2.9749922510702165,5.98947339472361
28,San Francisco,Jan 19,Lemon,4958,155,9.829882881930098,1.165640037879348
29,San Francisco,Jan 19,Mushroom,4650,292,5.964422372286209,4.731998956785538
30,San Francisco,Jan 19,Lemon,4958,393,8.948168755345979,4.8309240853646775
31,San Francisco,Jan 19,Pear,4412,374,4.2036833460908385,5.064143644319848
32,San Francisco,Jan 19,Onion,4159,172,9.05717584383674,3.162079676426947
33,San Francisco,Jan 19,Apple (Fuji),4131,390,4.283124609733932,6.576278729154729
34,San Francisco,Jan 19,Tomato,4796,259,2.063804567418993,4.035955673223362
35,San Francisco,Jan 19,Eggplant,4081,394,3.87077508319635,6.081863027787768
36,San Francisco,Jan 19,Blueberries,4240,262,8.580158148985356,3.078390830452554
37,San Francisco,Jan 19,Avocado,4225,429,5.304482823982835,6.059170687361621
38,San Francisco,Jan 19,Mushroom,4650,104,6.77229053885676,3.5903760564047844
39,San Francisco,Jan 19,Tomato,4796,144,4.722778827697039,2.557854200853035
40,San Francisco,Jan 19,Cucumber,4062,306,10.612717602634802,6.343434799369425
41,San Francisco,Jan 19,Apple (Fuji),4131,315,10.614266778877937,2.326467587519437
