calories,carbs,category,fat,name,restaurant
760,45,Original Bacon Double Cheeseburger,45,Original Bacon Double Cheeseburger,A&W Restaurants
340,26,Coney (Chili) Dog,20,Coney (Chili) Dog,A&W Restaurants
370,49,Chili Fries,15,Chili Fries,A&W Restaurants
670,90,Strawberry Milkshake (small),29,Strawberry Milkshake (small),A&W Restaurants
820,150,A&W® Root Beer Freeze (large),18,A&W® Root Beer Freeze (large),A&W Restaurants
340,57,Caramel Sundae,9,Caramel Sundae,A&W Restaurants
420,86,Strawberry Banana Smoothee,6,Strawberry Banana Smoothee,A&W Restaurants
1010,152,Chocolate Fudge Blendrrr,59,Chocolate Fudge Blendrrr,A&W Restaurants
420,105,Strawberry Limeade,0,Strawberry Limeade,A&W Restaurants
270,73,Watermelon Slushee,0,Watermelon Slushee,A&W Restaurants
480,119,Lime Slushee,0,Lime Slushee,A&W Restaurants
880,232,A&W® Root Beer,0,A&W® Root Beer,A&W Restaurants
420,37,Cheeseburger,21,Cheeseburger,A&W Restaurants
310,45,French Fries (Regular),12,French Fries (Regular),A&W Restaurants
1140,54,Cheese Curds (Large),80,Cheese Curds (Large),A&W Restaurants
700,100,Chocolate Milkshake (small),29,Chocolate Milkshake (small),A&W Restaurants
450,108,Orange Freeze (small),8,Orange Freeze (small),A&W Restaurants
170,30,A&W® Diet Root Beer Float (small),5,A&W® Diet Root Beer Float (small),A&W Restaurants
610,121,Strawberry Smoothee,10,Strawberry Smoothee,A&W Restaurants
140,38,Limeade,0,Limeade,A&W Restaurants
340,90,Cherry Limeade,0,Cherry Limeade,A&W Restaurants
330,82,Lemon Slushee,0,Lemon Slushee,A&W Restaurants
570,142,Blue Raspberry Slushee,0,Blue Raspberry Slushee,A&W Restaurants
0,0,A&W® Diet Root Beer,0,A&W® Diet Root Beer,A&W Restaurants
400,31,Grilled Chicken Sandwich,15,Grilled Chicken Sandwich,A&W Restaurants
430,61,French Fries (Large),17,French Fries (Large),A&W Restaurants
190,22,Chili,6,Chili,A&W Restaurants
880,125,Chocolate Milkshake (medium),36,Chocolate Milkshake (medium),A&W Restaurants
600,142,Orange Freeze (medium),10,Orange Freeze (medium),A&W Restaurants
170,30,A&W® Diet Root Beer Float (medium),5,A&W® Diet Root Beer Float (medium),A&W Restaurants
610,137,Orange Float (large),9,Orange Float (large),A&W Restaurants
