"","",""
"DR-4244","Declared on Thursday, October 29, 2015 - 20:00","Disaster listings for: Alaska"
"FM-5084","Declared on Sunday, June 14, 2015 - 20:00","Disaster listings for: Alaska"
"FM-5085","Declared on Monday, June 15, 2015 - 20:00","Disaster listings for: Alaska"
"DR-4226","Declared on Thursday, June 25, 2015 - 20:00","Disaster listings for: Arkansas"
"FM-5086","Declared on Tuesday, June 16, 2015 - 20:00","Disaster listings for: Arizona"
"FM-5095","Declared on Saturday, August 8, 2015 - 20:00","Disaster listings for: Arizona"
"DR-4240","Declared on Monday, September 21, 2015 - 20:00","Disaster listings for: California"
"FM-5089","Declared on Thursday, July 16, 2015 - 20:00","Disaster listings for: California"
"FM-5091","Declared on Wednesday, July 22, 2015 - 20:00","Disaster listings for: California"
"FM-5093","Declared on Saturday, August 1, 2015 - 20:00","Disaster listings for: California"
"FM-5111","Declared on Wednesday, September 9, 2015 - 20:00","Disaster listings for: California"
"FM-5112","Declared on Saturday, September 12, 2015 - 20:00","Disaster listings for: California"
"DR-4206","Declared on Monday, January 26, 2015 - 19:00","Disaster listings for: California"
"DR-4235","Declared on Tuesday, August 4, 2015 - 20:00","Disaster listings for: Commonwealth of the Northern Mariana Islands"
"DR-4229","Declared on Wednesday, July 15, 2015 - 20:00","Disaster listings for: Colorado"
"DR-4213","Declared on Tuesday, April 7, 2015 - 20:00","Disaster listings for: Connecticut"
"DR-4215","Declared on Sunday, April 19, 2015 - 20:00","Disaster listings for: Georgia"
"DR-4224","Declared on Thursday, June 4, 2015 - 20:00","Disaster listings for: Guam"
"DR-4234","Declared on Thursday, July 30, 2015 - 20:00","Disaster listings for: Iowa"
"DR-4246","Declared on Tuesday, December 22, 2015 - 19:00","Disaster listings for: Idaho"
"FM-5088","Declared on Sunday, July 5, 2015 - 20:00","Disaster listings for: Idaho"
"FM-5099","Declared on Thursday, August 13, 2015 - 20:00","Disaster listings for: Idaho"
"FM-5105","Declared on Friday, August 14, 2015 - 20:00","Disaster listings for: Idaho"
"FM-5110","Declared on Friday, August 28, 2015 - 20:00","Disaster listings for: Idaho"
"DR-4230","Declared on Sunday, July 19, 2015 - 20:00","Disaster listings for: Kansas"
"DR-4239","Declared on Tuesday, August 11, 2015 - 20:00","Disaster listings for: Kentucky"
"DR-4216","Declared on Wednesday, April 29, 2015 - 20:00","Disaster listings for: Kentucky"
"DR-4217","Declared on Thursday, April 30, 2015 - 20:00","Disaster listings for: Kentucky"
"DR-4218","Declared on Monday, May 11, 2015 - 20:00","Disaster listings for: Kentucky"
"DR-4228","Declared on Sunday, July 12, 2015 - 20:00","Disaster listings for: Louisiana"
"DR-4214","Declared on Sunday, April 12, 2015 - 20:00","Disaster listings for: Massachusetts"
"DR-4208","Declared on Wednesday, March 11, 2015 - 20:00","Disaster listings for: Maine"
"DR-4238","Declared on Thursday, August 6, 2015 - 20:00","Disaster listings for: Missouri"
"DR-4235","Declared on Tuesday, August 4, 2015 - 20:00","Disaster listings for: Northern Mariana Islands"
"DR-4205","Declared on Tuesday, January 6, 2015 - 19:00","Disaster listings for: Mississippi"
"DR-4225","Declared on Wednesday, June 24, 2015 - 20:00","Disaster listings for: Nebraska"
"DR-4209","Declared on Tuesday, March 24, 2015 - 20:00","Disaster listings for: New Hampshire"
"DR-4231","Declared on Tuesday, July 21, 2015 - 20:00","Disaster listings for: New Jersey"
"DR-4247","Declared on Monday, December 28, 2015 - 19:00","Disaster listings for: Oklahoma"
"FM-5117","Declared on Tuesday, November 10, 2015 - 19:00","Disaster listings for: Oklahoma"
"DR-4222","Declared on Monday, May 25, 2015 - 20:00","Disaster listings for: Oklahoma"
"FM-5092","Declared on Thursday, July 30, 2015 - 20:00","Disaster listings for: Oregon"
"FM-5096","Declared on Saturday, August 8, 2015 - 20:00","Disaster listings for: Oregon"
"FM-5097","Declared on Wednesday, August 12, 2015 - 20:00","Disaster listings for: Oregon"
"FM-5102","Declared on Friday, August 14, 2015 - 20:00","Disaster listings for: Oregon"
"FM-5107","Declared on Thursday, August 20, 2015 - 20:00","Disaster listings for: Oregon"
"FM-5114","Declared on Sunday, September 13, 2015 - 20:00","Disaster listings for: Oregon"
"DR-4212","Declared on Thursday, April 2, 2015 - 20:00","Disaster listings for: Rhode Island"
"EM-3373","Declared on Friday, October 2, 2015 - 20:00","Disaster listings for: South Carolina"
"DR-4241","Declared on Sunday, October 4, 2015 - 20:00","Disaster listings for: South Carolina"
"DR-4233","Declared on Wednesday, July 29, 2015 - 20:00","Disaster listings for: South Dakota"
"DR-4237","Declared on Thursday, August 6, 2015 - 20:00","Disaster listings for: South Dakota"
"DR-4211","Declared on Wednesday, April 1, 2015 - 20:00","Disaster listings for: Tennessee"
"DR-4245","Declared on Tuesday, November 24, 2015 - 19:00","Disaster listings for: Texas"
"FM-5116","Declared on Tuesday, October 13, 2015 - 20:00","Disaster listings for: Texas"
"DR-4223","Declared on Thursday, May 28, 2015 - 20:00","Disaster listings for: Texas"
"DR-4232","Declared on Tuesday, July 28, 2015 - 20:00","Disaster listings for: Vermont"
"DR-4207","Declared on Monday, February 2, 2015 - 19:00","Disaster listings for: Vermont"
"DR-4242","Declared on Wednesday, October 14, 2015 - 20:00","Disaster listings for: Washington"
"DR-4243","Declared on Monday, October 19, 2015 - 20:00","Disaster listings for: Washington"
"FM-5087","Declared on Sunday, June 28, 2015 - 20:00","Disaster listings for: Washington"
"FM-5090","Declared on Monday, July 20, 2015 - 20:00","Disaster listings for: Washington"
"FM-5094","Declared on Tuesday, August 4, 2015 - 20:00","Disaster listings for: Washington"
"FM-5098","Declared on Thursday, August 13, 2015 - 20:00","Disaster listings for: Washington"
"FM-5100","Declared on Thursday, August 13, 2015 - 20:00","Disaster listings for: Washington"
"FM-5101","Declared on Friday, August 14, 2015 - 20:00","Disaster listings for: Washington"
"FM-5103","Declared on Friday, August 14, 2015 - 20:00","Disaster listings for: Washington"
"FM-5104","Declared on Friday, August 14, 2015 - 20:00","Disaster listings for: Washington"
"FM-5106","Declared on Tuesday, August 18, 2015 - 20:00","Disaster listings for: Washington"
"FM-5108","Declared on Thursday, August 20, 2015 - 20:00","Disaster listings for: Washington"
"FM-5109","Declared on Sunday, August 23, 2015 - 20:00","Disaster listings for: Washington"
"FM-5113","Declared on Sunday, September 13, 2015 - 20:00","Disaster listings for: Washington"
"EM-3372","Declared on Thursday, August 20, 2015 - 20:00","Disaster listings for: Washington"
"DR-4236","Declared on Thursday, August 6, 2015 - 20:00","Disaster listings for: West Virginia"
"DR-4210","Declared on Monday, March 30, 2015 - 20:00","Disaster listings for: West Virginia"
"DR-4219","Declared on Wednesday, May 13, 2015 - 20:00","Disaster listings for: West Virginia"
"DR-4220","Declared on Sunday, May 17, 2015 - 20:00","Disaster listings for: West Virginia"
"DR-4221","Declared on Wednesday, May 20, 2015 - 20:00","Disaster listings for: West Virginia"
"FM-5115","Declared on Saturday, October 10, 2015 - 20:00","Disaster listings for: Wyoming"
"DR-4227","Declared on Monday, July 6, 2015 - 20:00","Disaster listings for: Wyoming"
