county,ihProgramDeclared_Coastal Storm,ihProgramDeclared_Fire,ihProgramDeclared_Fishing Losses,ihProgramDeclared_Flood,ihProgramDeclared_Hurricane,ihProgramDeclared_Other,ihProgramDeclared_Severe Ice Storm,ihProgramDeclared_Severe Storms,ihProgramDeclared_Snow,ihProgramDeclared_Terrorist,ihProgramDeclared_Tornado,iaProgramDeclared_Coastal Storm,iaProgramDeclared_Fire,iaProgramDeclared_Fishing Losses,iaProgramDeclared_Flood,iaProgramDeclared_Hurricane,iaProgramDeclared_Other,iaProgramDeclared_Severe Ice Storm,iaProgramDeclared_Severe Storms,iaProgramDeclared_Snow,iaProgramDeclared_Terrorist,iaProgramDeclared_Tornado,paProgramDeclared_Coastal Storm,paProgramDeclared_Fire,paProgramDeclared_Fishing Losses,paProgramDeclared_Flood,paProgramDeclared_Hurricane,paProgramDeclared_Other,paProgramDeclared_Severe Ice Storm,paProgramDeclared_Severe Storms,paProgramDeclared_Snow,paProgramDeclared_Terrorist,paProgramDeclared_Tornado,hmProgramDeclared_Coastal Storm,hmProgramDeclared_Fire,hmProgramDeclared_Fishing Losses,hmProgramDeclared_Flood,hmProgramDeclared_Hurricane,hmProgramDeclared_Other,hmProgramDeclared_Severe Ice Storm,hmProgramDeclared_Severe Storms,hmProgramDeclared_Snow,hmProgramDeclared_Terrorist,hmProgramDeclared_Tornado
barnstable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
berkshire,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0
"bristol(in (p)msa 1120,1200,2480,5400,6060)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0
dukes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
"essex(in pmsa 1120,4160,7090)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,6.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0
franklin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0
hampden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0
hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0
"middlesex(in (p)msa 1120,2600,4560)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0
nantucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
"norfolk(in pmsa 1120,1200,6060)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,7.0,1.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0
