Business,Category,Lifeline,Latitude,Longitude,Zipcode
Boston Police Department,policedepartments,1,42.3617983204601,-71.0602965278121,02114
Harvard University Police Department,policedepartments,1,42.3699354188619,-71.1120128631592,02138
Boston Police Headquarters,policedepartments,1,42.3340774445295,-71.0908846762968,02120
Somerville Fire Department,firedepartments,1,42.3908571,-71.0910238,02145
Cambridge Police Department,policedepartments,1,42.367259979248,-71.0861511230469,02141
Boston Fire Department,firedepartments,1,42.3371238708496,-71.0960464477539,02115
Somerville Police Department,policedepartments,1,42.3793392,-71.0924854,02143
Somerville Fire Department,firedepartments,1,42.39187,-71.11072,02143
East Boston Police Department,policedepartments,1,42.3712205886841,-71.0388281196356,02128
Medford Police Department,policedepartments,1,42.4160194,-71.1103973,02155
Transit Police,policedepartments,1,42.3314609594044,-71.0645722450439,02118
Point of Pines Fire Station,firedepartments,1,42.4397519698324,-70.9683948666667,02151
State Police Revere Barracks,policedepartments,1,42.4141454971757,-70.9896770545971,02151
State Police Association of Massachusetts,policedepartments,1,42.35853,-71.06182,02108
Dedham Police Department,policedepartments,1,42.2492031,-71.1721842,02026
District E-18 - Hyde Park,policedepartments,1,42.25647,-71.1242199,02136
Malden Police Department,policedepartments,1,42.4300145172923,-71.047582646804,02148
Revere City of-Police Department,policedepartments,1,42.408108,-71.012678,02151
MSPCA Angell,vet,2,42.323087,-71.111216,02130
Animal Rescue League of Boston,animalshelters,2,42.3472206,-71.0700023,02116
Greater Boston Food Bank,foodbanks,2,42.33423,-71.06566,02118
Ellen M Gifford Cat Shelter,animalshelters,2,42.34165,-71.16762,02135
Center for Arts at the Armory,venues,2,42.3897362,-71.1059052,02143
Curley Community Center,communitycenters,2,42.3293751,-71.0354182,02127
St Francis House,communitycenters,2,42.3524209987161,-71.0636105905768,02116
Quincy Animal Shelter,animalshelters,2,42.2559079,-70.9942243,02169
Harvard Ed Portal,communitycenters,2,42.3624038696289,-71.1312713623047,02134
Black Cat Rescue,animalshelters,2,42.3919219970703,-71.089729309082,02145
Second Chance Shelter for Cats,animalshelters,2,42.315055847168,-71.1152725219727,02130
CultureHouse,communitycenters,2,42.363919,-71.0813643,02142
Boston University Hillel,collegeuniv,2,42.35078,-71.10293,02215
Kitty Connection,animalshelters,2,42.4230613708496,-71.1078262329102,02155
Beacon Hill Friends House,communitycenters,2,42.35763,-71.06643,02108
Animal Rescue League of Boston,animalshelters,2,42.2647902,-71.1846893,02026
Paris Street Community Center and Pool,swimmingpools,2,42.372534678705,-71.0370890330599,02128
Friends of the Shattuck Shelter,homelessshelters,2,42.2994228801864,-71.1027702240335,02130
City of Boston Animal Control and Adoption Center,animalshelters,2,42.2942428588867,-71.1214065551758,02131
New England Anti-Vivisection Society Neavs,animalshelters,2,42.35689,-71.05913,02108
Milton Animal League,animalshelters,2,42.2441252,-71.0890956,02186
Animal Umbrella,animalshelters,2,42.42792,-71.00832,02151
Harborside Community Center,communitycenters,2,42.3776296569486,-71.0400559008121,02128
Legacy Rescue,animalshelters,2,42.4204254150391,-71.1566619873047,02474
Montserrat Aspirers,communitycenters,2,42.299029,-71.073153,02124
Shultz's Guest House,petadoption,2,42.2486,-71.15509,02026
Dedham Square,communitycenters,2,42.2467697,-71.1736348,02026
Dedham Community House,communitycenters,2,42.2494814635127,-71.1767385716136,02026
Massachusetts General Hospital,hospitals,3,42.363155,-71.068834,02114
Brigham & Women's Hospital,hospitals,3,42.335929,-71.106716,02115
Boston Children's Hospital,hospitals,3,42.3372730209928,-71.1059970977132,02115
New England Baptist Hospital,hospitals,3,42.32919,-71.10626,02120
Fenway Health,medcenters,3,42.3440775,-71.0989879,02215
Beth Israel Deaconess Medical Center,hospitals,3,42.339749,-71.105063,02215
Dana-Farber Cancer Institute,hospitals,3,42.3374895,-71.1081414,02215
Planned Parenthood - Greater Boston Health Center,medcenters,3,42.3518047572808,-71.1203384399414,02215
Copley - Harvard Vanguard,internalmed,3,42.347841,-71.076018,02116
Massachusetts Eye and Ear,hospitals,3,42.36276,-71.07014,02114
Tufts Medical Center,medcenters,3,42.349481,-71.063154,02111
Post Office Square - Harvard Vanguard,medcenters,3,42.3572346,-71.054212,02109
AFC Urgent Care Watertown,urgent_care,3,42.36391,-71.16545,02472
St Elizabeth's Medical Center,medcenters,3,42.3495558,-71.148288,02135
Kenmore - Harvard Vanguard,medcenters,3,42.34545,-71.10057,02215
Sidney Borum Junior Health Center,medcenters,3,42.3502516,-71.0605958,02205
Crosstown Center Garage,medcenters,3,42.3324062012579,-71.0738137729385,02119
Boston Obstetrics & Gynecology,medcenters,3,42.3321479,-71.1155506,02445
Cambridge - Harvard Vanguard,medcenters,3,42.37486,-71.1083,02138
North End Waterfront Health Center,medcenters,3,42.3647004,-71.0537366,02113
Mount Auburn Hospital Walk-In Clinic,medcenters,3,42.374114,-71.134291,02138
