fid,st,state,st_abbr,county,fips,location,area_sqmi,e_totpop,m_totpop,e_hu,m_hu,e_hh,m_hh,e_pov,m_pov,e_unemp,m_unemp,e_pci,m_pci,e_nohsdp,m_nohsdp,e_age65,m_age65,e_age17,m_age17,e_disabl,m_disabl,e_sngpnt,m_sngpnt,e_minrty,m_minrty,e_limeng,m_limeng,e_munit,m_munit,e_mobile,m_mobile,e_crowd,m_crowd,e_noveh,m_noveh,e_groupq,m_groupq,ep_pov,mp_pov,ep_unemp,mp_unemp,ep_pci,mp_pci,ep_nohsdp,mp_nohsdp,ep_age65,mp_age65,ep_age17,mp_age17,ep_disabl,mp_disabl,ep_sngpnt,mp_sngpnt,ep_minrty,mp_minrty,ep_limeng,mp_limeng,ep_munit,mp_munit,ep_mobile,mp_mobile,ep_crowd,mp_crowd,ep_noveh,mp_noveh,ep_groupq,mp_groupq,epl_pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,rpl_theme1,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,rpl_theme2,epl_minrty,epl_limeng,spl_theme3,rpl_theme3,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,rpl_theme4,spl_themes,rpl_themes,f_pov,f_unemp,f_pci,f_nohsdp,f_theme1,f_age65,f_age17,f_disabl,f_sngpnt,f_theme2,f_minrty,f_limeng,f_theme3,f_munit,f_mobile,f_crowd,f_noveh,f_groupq,f_theme4,f_total,e_uninsur,m_uninsur,ep_uninsur,mp_uninsur,e_daypop
0,25,MASSACHUSETTS,MA,Dukes,25007,"Dukes County, Massachusetts",103.265272574,17137.0,0.0,17536.0,52.0,6134.0,386.0,1544.0,482.0,390.0,187.0,40051.0,5064.0,913.0,484.0,3497.0,55.0,3114.0,55.0,1432.0,316.0,368.0,152.1,2240.0,153.0,404.0,276.3,240.0,110.8,10.0,10.0,46.0,36.2,148.0,88.0,265.0,98.0,9.1,2.8,4.3,2.0,40051.0,5064.0,7.2,3.8,20.4,0.3,18.2,0.3,8.4,1.9,6.0,2.5,13.1,0.9,2.5,1.7,1.4,0.6,0.1,0.1,0.7,0.6,2.4,1.4,1.5,0.6,0.3077,0.0769,0.2308,0.3077,0.9231,0.3077,0.8462,0.3077,0.0769,0.2308,1.4615,0.2308,0.2308,0.3846,0.6154,0.3077,0.0769,0.0,0.0,0.0,0.0769,0.1538,0.0,3.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.0,459.0,7.4,2.7,17381.0
1,25,MASSACHUSETTS,MA,Norfolk,25021,"Norfolk County, Massachusetts",396.092739445,691218.0,0.0,273280.0,347.0,260061.0,1015.0,45372.0,1954.0,24061.0,1122.0,47306.0,564.0,29576.0,1307.0,108508.0,69.0,149833.0,66.0,66367.0,1919.0,14833.0,724.8,155828.0,566.0,20883.0,1100.4,49057.0,1265.1,956.0,177.0,3707.0,399.8,24293.0,1088.0,18396.0,860.0,6.7,0.3,6.3,0.3,47306.0,564.0,6.1,0.3,15.7,0.1,21.7,0.0,9.7,0.3,5.7,0.3,22.5,0.1,3.2,0.2,18.0,0.5,0.3,0.1,1.4,0.2,9.3,0.4,2.7,0.1,0.0,0.3077,0.0,0.2308,0.5385,0.0769,0.5385,0.6923,0.2308,0.1538,1.6154,0.3077,0.6154,0.6154,1.2308,0.6923,0.8462,0.1538,0.5385,0.5385,0.4615,2.5385,0.3846,5.9231,0.2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14667.0,1152.0,2.1,0.2,708405.0
2,25,MASSACHUSETTS,MA,Worcester,25027,"Worcester County, Massachusetts",1510.6359654,813589.0,0.0,329285.0,446.0,302794.0,1417.0,89860.0,3054.0,29663.0,1504.0,33272.0,295.0,55173.0,1538.0,114848.0,25.0,179312.0,57.0,95190.0,1996.0,26512.0,1099.8,174555.0,744.0,23826.0,1357.4,34996.0,1258.7,2794.0,332.0,5796.0,586.2,27043.0,1048.0,28672.0,1134.0,11.4,0.4,6.7,0.3,33272.0,295.0,10.0,0.3,14.1,0.1,22.0,0.0,11.9,0.2,8.8,0.4,21.5,0.1,3.1,0.2,10.6,0.4,0.8,0.1,1.9,0.2,8.9,0.3,3.5,0.1,0.6154,0.4615,0.6154,0.6923,2.3846,0.6154,0.2308,0.8462,0.4615,0.6154,2.1538,0.5385,0.5385,0.5385,1.0769,0.4615,0.6154,0.4615,0.6923,0.4615,0.6923,2.9231,0.6154,8.5385,0.6154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24182.0,1437.0,3.0,0.2,785294.0
3,25,MASSACHUSETTS,MA,Barnstable,25001,"Barnstable County, Massachusetts",394.206239667,214703.0,0.0,161632.0,180.0,94351.0,1125.0,17433.0,1577.0,6965.0,530.0,39104.0,813.0,7595.0,575.0,59781.0,109.0,34243.0,0.0,29223.0,940.0,5193.0,480.7,20177.0,406.0,1413.0,298.6,7110.0,505.1,797.0,213.0,794.0,221.1,5262.0,407.0,2830.0,310.0,8.2,0.7,6.3,0.5,39104.0,813.0,4.6,0.3,27.8,0.1,15.9,0.0,13.8,0.4,5.5,0.5,9.4,0.2,0.7,0.1,4.4,0.3,0.5,0.1,0.8,0.2,5.6,0.4,1.3,0.1,0.1538,0.3077,0.3077,0.0,0.7692,0.1538,1.0,0.0769,0.6923,0.0769,1.8462,0.4615,0.0769,0.0,0.0769,0.0,0.1538,0.3077,0.1538,0.0769,0.0,0.6923,0.0769,3.3846,0.0769,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7507.0,781.0,3.5,0.4,210568.0
4,25,MASSACHUSETTS,MA,Essex,25009,"Essex County, Massachusetts",492.418905021,769362.0,0.0,308459.0,413.0,288291.0,1392.0,84757.0,3301.0,29373.0,1153.0,37210.0,450.0,56512.0,1352.0,119929.0,95.0,169470.0,66.0,91879.0,1941.0,27585.0,1051.9,208860.0,583.0,42632.0,1603.7,45646.0,1315.3,1962.0,270.0,5856.0,534.8,31645.0,1157.0,18085.0,958.0,11.3,0.4,7.0,0.3,37210.0,450.0,10.7,0.3,15.6,0.1,22.0,0.0,12.1,0.3,9.6,0.4,27.1,0.1,5.9,0.2,14.8,0.4,0.6,0.1,2.0,0.2,11.0,0.4,2.4,0.1,0.4615,0.6154,0.3846,0.7692,2.2308,0.5385,0.4615,0.7692,0.5385,0.7692,2.5385,0.6923,0.8462,0.9231,1.7692,0.8462,0.7692,0.3846,0.7692,0.7692,0.3077,3.0,0.6923,9.5385,0.7692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26396.0,1431.0,3.5,0.2,734690.0
5,25,MASSACHUSETTS,MA,Franklin,25011,"Franklin County, Massachusetts",699.21244007,70916.0,0.0,33684.0,162.0,30389.0,362.0,7881.0,721.0,2425.0,298.0,31689.0,989.0,3787.0,385.0,12879.0,102.0,12992.0,0.0,9837.0,494.0,2317.0,275.7,6072.0,93.0,796.0,238.2,1954.0,253.2,914.0,110.0,290.0,86.0,2040.0,241.0,1636.0,342.0,11.3,1.0,6.1,0.8,31689.0,989.0,7.2,0.7,18.2,0.1,18.3,0.0,14.0,0.7,7.6,0.9,8.6,0.1,1.2,0.4,5.8,0.8,2.7,0.3,1.0,0.3,6.7,0.8,2.3,0.5,0.4615,0.2308,0.6923,0.3077,1.6923,0.4615,0.7692,0.3846,0.7692,0.4615,2.3846,0.6154,0.0,0.1538,0.1538,0.0769,0.2308,1.0,0.2308,0.2308,0.2308,1.9231,0.1538,6.1538,0.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1968.0,337.0,2.8,0.5,61061.0
6,25,MASSACHUSETTS,MA,Hampshire,25015,"Hampshire County, Massachusetts",527.227249747,161035.0,0.0,62915.0,298.0,58448.0,569.0,20315.0,1294.0,6453.0,659.0,31051.0,853.0,5650.0,539.0,23761.0,88.0,25001.0,22.0,17369.0,868.0,4219.0,436.4,24782.0,116.0,1371.0,248.5,6502.0,548.1,726.0,141.0,608.0,191.4,4689.0,502.0,22858.0,687.0,14.7,0.9,7.1,0.7,31051.0,853.0,5.7,0.5,14.8,0.1,15.5,0.0,10.9,0.5,7.2,0.7,15.4,0.1,0.9,0.2,10.3,0.9,1.2,0.2,1.0,0.3,8.0,0.9,14.2,0.4,0.8462,0.6923,0.8462,0.1538,2.5385,0.6923,0.3077,0.0,0.3077,0.3846,1.0,0.0769,0.3077,0.0769,0.3846,0.2308,0.5385,0.5385,0.3077,0.3077,1.0,2.6923,0.5385,6.6154,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4598.0,601.0,2.9,0.4,160141.0
7,25,MASSACHUSETTS,MA,Middlesex,25017,"Middlesex County, Massachusetts",817.708811831,1567610.0,0.0,619399.0,573.0,587735.0,1649.0,124652.0,4075.0,48001.0,1590.0,45579.0,357.0,80378.0,2297.0,220034.0,36.0,322430.0,0.0,141404.0,2222.0,36581.0,1256.2,406432.0,1007.0,59514.0,2265.7,113346.0,1895.9,2560.0,364.0,10570.0,734.6,62066.0,1554.0,59265.0,1439.0,8.2,0.3,5.4,0.2,45579.0,357.0,7.4,0.2,14.0,0.1,20.6,0.0,9.1,0.1,6.2,0.2,25.9,0.1,4.0,0.2,18.3,0.3,0.4,0.1,1.8,0.1,10.6,0.3,3.8,0.1,0.1538,0.1538,0.1538,0.4615,0.9231,0.2308,0.0769,0.5385,0.1538,0.3077,1.0769,0.1538,0.7692,0.6923,1.4615,0.7692,0.9231,0.2308,0.6154,0.6923,0.7692,3.2308,0.8462,6.6923,0.4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,45761.0,2143.0,2.9,0.1,1701187.0
8,25,MASSACHUSETTS,MA,Nantucket,25019,"Nantucket County, Massachusetts",46.11280703640001,10694.0,0.0,11844.0,70.0,3836.0,249.0,1083.0,364.0,225.0,119.0,46009.0,4070.0,415.0,148.0,1499.0,104.0,2133.0,169.0,859.0,172.0,206.0,74.2,2679.0,111.0,300.0,146.5,43.0,26.7,188.0,86.0,147.0,88.5,313.0,139.0,275.0,161.0,10.3,3.5,3.4,1.8,46009.0,4070.0,5.3,1.8,14.0,1.0,19.9,1.6,8.1,1.6,5.4,1.9,25.1,1.0,3.0,1.4,0.4,0.2,1.6,0.7,3.8,2.3,8.2,3.4,2.6,1.5,0.3846,0.0,0.0769,0.0769,0.5385,0.0,0.0769,0.4615,0.0,0.0,0.5385,0.0,0.6923,0.4615,1.1538,0.5385,0.0,0.7692,1.0,0.3846,0.3846,2.5385,0.3077,4.7692,0.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,607.0,177.0,5.7,1.7,11707.0
9,25,MASSACHUSETTS,MA,Bristol,25005,"Bristol County, Massachusetts",553.08436362,554868.0,0.0,231247.0,296.0,212933.0,1234.0,67338.0,2740.0,24082.0,1088.0,30525.0,381.0,62422.0,1641.0,87050.0,93.0,117505.0,131.0,77949.0,1836.0,21240.0,911.0,90251.0,975.0,21723.0,1152.7,20250.0,789.6,2928.0,330.0,2742.0,371.8,23960.0,1060.0,16503.0,685.0,12.5,0.5,8.1,0.4,30525.0,381.0,16.3,0.4,15.7,0.1,21.2,0.0,14.2,0.3,10.0,0.4,16.3,0.2,4.1,0.2,8.8,0.3,1.3,0.1,1.3,0.2,11.3,0.5,3.0,0.1,0.7692,0.8462,0.9231,1.0,3.5385,0.9231,0.5385,0.6154,0.8462,0.8462,2.8462,0.9231,0.3846,0.7692,1.1538,0.5385,0.4615,0.6923,0.4615,0.8462,0.5385,3.0,0.6923,10.5385,0.8462,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18906.0,1092.0,3.4,0.2,520162.0
