Business,Category,Lifeline,Latitude,Longitude,Zipcode
JetBlue,airlines,6,42.366658,-71.01616,02128
Amtrak,publictransport,6,42.332908,-71.06081,02111
South Station Bus Terminal,busstations,6,42.3510953038931,-71.0561759769917,02111
Uber,taxis,6,42.3345559548309,-71.0661193,02108
Provincetown Fast Ferry,ferries,6,42.360188,-71.049113,02110
Red Line MBTA,trains,6,42.35866,-71.0567499,02228
Cabbie's Cab,taxis,6,42.3773146139445,-71.1165618896484,02138
Charlie Card,publictransport,6,42.351532,-71.06692,02116
MBTA - North Station,publictransport,6,42.365464,-71.060799,02114
Green Cab & Yellow Cab of Somerville,taxis,6,42.3761232,-71.0932089,02143
Massachusetts Bay Transportation Authority,publictransport,6,42.35199,-71.0671651,02116
Orange Line MBTA,trains,6,42.358333,-71.060278,02228
Blue Line MBTA,publictransport,6,42.3503494262695,-71.0595016479492,02111
Southwest Airlines,airlines,6,42.368133953852,-71.01939074616,02128
MBTA/Silver Line Courthouse Station,publictransport,6,42.3523440238545,-71.0468260994435,02228
MBTA - Back Bay Station,publictransport,6,42.34744,-71.07495,02116
Delta Airlines,airlines,6,42.364773,-71.022198,02128
Charles/MGH T Stop,publictransport,6,42.361009476716,-71.0716617107391,02114
Green Line MBTA,trains,6,42.35057,-71.07603,02116
MBTA - Airport Station,busstations,6,42.36342,-71.0257,02128
American Airlines,airlines,6,42.363255,-71.0183533,02128
MBTA Commuter Boat,publictransport,6,42.3599649522381,-71.0492199854345,02129
Spirit Airlines,airlines,6,42.3619910463552,-71.0186933825561,02128
The Good Taxi,limos,6,42.4125099,-71.091362,02155
Porter Square MBTA Station - Red Line,metrostations,6,42.388461,-71.119196,02139
Boston Airport Express,airport_shuttles,6,42.39303,-71.13996,02140
United Airlines,airlines,6,42.3666285,-71.0165047,02128
Airport Water Taxi,taxis,6,42.3515446,-71.0500148,02210
All-Savants Transportation,airport_shuttles,6,42.24121,-71.02255,02169
Icelandair,airlines,6,42.369638119258,-71.0201468306885,02128
Lyft,taxis,6,42.37581,-71.03615,02128
MBTA Bus Route 66,publictransport,6,42.329902,-71.084002,02228
Boston Cab Dispatch,taxis,6,42.3426603,-71.0991875,02215
Greyhound Package Express,publictransport,6,42.3510953038931,-71.0561759769917,02111
Cape Air Charter,airlines,6,42.366273,-71.016298,02128
City Water Taxi,publictransport,6,42.3641499671982,-71.0327681180428,02128
Smurfs Transportation,taxis,6,42.3700942993164,-71.2571258544922,02453
British Airways,airlines,6,42.3699320324056,-71.0195374597412,02128
Savin Hill MBTA Station,publictransport,6,42.3110224306583,-71.0528091341257,02125
Massachusetts Turnpike,publictransport,6,42.3631591796875,-71.0650100708008,02114
Alaska Airlines,airlines,6,42.36342,-71.0257,02128
MBTA - Charles/MGH Station,metrostations,6,42.360576,-71.071312,02114
MetroCab,taxis,6,42.3563142120838,-71.1358630657196,02134
Kendall Square,publictransport,6,42.362315,-71.08404,02238
Amtrak Lake Shore Limited,publictransport,6,42.3526329483859,-71.0554311798608,02110
Copley MBTA Station - Green Line,landmarks,6,42.350251,-71.077588,02116
Cambridge Checker Cab,taxis,6,42.3687722,-71.08796,02141
Sullivan Square MBTA Station - MBTA Buses & Orange Line,busstations,6,42.384265,-71.077,02129
Malden Trans,taxis,6,42.4269,-71.06068,02148
Central Livery,taxis,6,42.374689,-71.0386207,02128
MBTA Bus Route 77,publictransport,6,42.382654,-71.119611,02138
MBTA Green Street Station,publictransport,6,42.3104520820164,-71.1067785161095,02130
MBTA Bus Route 55,publictransport,6,42.3475456237793,-71.1020126342773,02215
Aer Lingus,airlines,6,42.3715721795968,-71.0228075820312,02128
DK Limousine Service,limos,6,42.3513701532276,-71.060348361377,02111
Metro Cab,taxis,6,42.3555893,-71.1356996,02134
Independent Taxi Operators Association,taxis,6,42.29769,-71.05564,02122
Sila Transportation,limos,6,42.33293,-71.17235,02467
617-TAXI CAB,taxis,6,42.3860637,-71.017906,02128
Sensible Livery Service,limos,6,42.4204254150391,-71.1566619873047,02474
Lufthansa,airlines,6,42.3700503010449,-71.0214342910156,02128
Andrew Station - MBTA - Red Line,publictransport,6,42.329930059804,-71.0574129661413,02127
Massachusetts Avenue MBTA Station - Orange Line,publictransport,6,42.3415400243669,-71.0834687948227,02115
Regal Coach,airport_shuttles,6,42.5250003,-71.0841073,01867
Porter Airlines,airlines,6,42.3794208395739,-71.0162233227539,02128
Green Line- E,publictransport,6,42.3408851623535,-71.0948181152344,02115
On Time Taxi Service,taxis,6,42.18722,-71.2029,02062
MBTA - Alewife Station,metrostations,6,42.3956297463504,-71.1417540799913,02140
Green Line - B Trains,trains,6,42.3501,-71.12912,02134
